,Food code,Main food description,WWEIA Category description,Ingredient description
6732,27315340,"Beef, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; cheese sauce",Meat mixed dishes,Cheese sauce  prepared from recipe
6733,27315340,"Beef, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; cheese sauce",Meat mixed dishes,Rice  white  long-grain  regular  enriched  cooked
6734,27315340,"Beef, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; cheese sauce",Meat mixed dishes,Corn  sweet  yellow  frozen  kernels cut off cob  boiled  drained  without salt
6735,27315340,"Beef, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; cheese sauce",Meat mixed dishes,Beans  snap  green  frozen  cooked  boiled  drained without salt
6736,27315340,"Beef, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; cheese sauce",Meat mixed dishes,Salt  table  iodized
6737,27315410,"Beef, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",Meat mixed dishes,"Beef  round  top round steak  separable lean and fat  trimmed to 1/8"" fat  all grades  cooked  broiled"
6738,27315410,"Beef, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",Meat mixed dishes,Gravy  chicken  canned or bottled  ready-to-serve
6739,27315410,"Beef, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",Meat mixed dishes,Rice  white  long-grain  regular  enriched  cooked
6740,27315410,"Beef, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",Meat mixed dishes,Carrots  frozen  cooked  boiled  drained  without salt
6741,27315410,"Beef, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",Meat mixed dishes,Broccoli  frozen  chopped  cooked  boiled  drained  without salt
6742,27315410,"Beef, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",Meat mixed dishes,Vegetable oil  NFS
6743,27315410,"Beef, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",Meat mixed dishes,Salt  table  iodized
6744,27315420,"Beef, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",Meat mixed dishes,"Beef  round  top round steak  separable lean and fat  trimmed to 1/8"" fat  all grades  cooked  broiled"
6745,27315420,"Beef, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",Meat mixed dishes,Gravy  chicken  canned or bottled  ready-to-serve
6746,27315420,"Beef, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",Meat mixed dishes,Rice  white  long-grain  regular  enriched  cooked
6747,27315420,"Beef, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",Meat mixed dishes,Corn  sweet  yellow  frozen  kernels cut off cob  boiled  drained  without salt
6748,27315420,"Beef, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",Meat mixed dishes,Beans  snap  green  frozen  cooked  boiled  drained without salt
6749,27315420,"Beef, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",Meat mixed dishes,Vegetable oil  NFS
6750,27315420,"Beef, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",Meat mixed dishes,Salt  table  iodized
6751,27315510,"Beef, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; soy-based sauce",Stir-fry and soy-based sauce mixtures,"Beef  round  top round steak  separable lean and fat  trimmed to 1/8"" fat  all grades  cooked  broiled"
6752,27315510,"Beef, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; soy-based sauce",Stir-fry and soy-based sauce mixtures,Vegetable oil  NFS
6753,27315510,"Beef, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; soy-based sauce",Stir-fry and soy-based sauce mixtures,Garlic  raw
6754,27315510,"Beef, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; soy-based sauce",Stir-fry and soy-based sauce mixtures,Ginger root  raw
6755,27315510,"Beef, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; soy-based sauce",Stir-fry and soy-based sauce mixtures,Onions  cooked  boiled  drained  without salt
6756,27315510,"Beef, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; soy-based sauce",Stir-fry and soy-based sauce mixtures,Onions  spring or scallions (includes tops and bulb)  raw
6757,27315510,"Beef, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; soy-based sauce",Stir-fry and soy-based sauce mixtures,Soy sauce made from soy and wheat (shoyu)
6758,27315510,"Beef, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; soy-based sauce",Stir-fry and soy-based sauce mixtures,Soup  beef broth or bouillon canned  ready-to-serve
6759,27315510,"Beef, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; soy-based sauce",Stir-fry and soy-based sauce mixtures,Rice  white  long-grain  regular  enriched  cooked
6760,27315510,"Beef, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; soy-based sauce",Stir-fry and soy-based sauce mixtures,Carrots  cooked  boiled  drained  without salt
6761,27315510,"Beef, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; soy-based sauce",Stir-fry and soy-based sauce mixtures,Broccoli  cooked  as ingredient
6762,27315520,"Beef, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; soy-based sauce",Stir-fry and soy-based sauce mixtures,"Beef  round  top round steak  separable lean and fat  trimmed to 1/8"" fat  all grades  cooked  broiled"
6763,27315520,"Beef, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; soy-based sauce",Stir-fry and soy-based sauce mixtures,Vegetable oil  NFS
6764,27315520,"Beef, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; soy-based sauce",Stir-fry and soy-based sauce mixtures,Garlic  raw
6765,27315520,"Beef, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; soy-based sauce",Stir-fry and soy-based sauce mixtures,Ginger root  raw
6766,27315520,"Beef, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; soy-based sauce",Stir-fry and soy-based sauce mixtures,Onions  cooked  boiled  drained  without salt
6767,27315520,"Beef, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; soy-based sauce",Stir-fry and soy-based sauce mixtures,Onions  spring or scallions (includes tops and bulb)  raw
6768,27315520,"Beef, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; soy-based sauce",Stir-fry and soy-based sauce mixtures,Soy sauce made from soy and wheat (shoyu)
6769,27315520,"Beef, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; soy-based sauce",Stir-fry and soy-based sauce mixtures,Soup  beef broth or bouillon canned  ready-to-serve
6770,27315520,"Beef, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; soy-based sauce",Stir-fry and soy-based sauce mixtures,Rice  white  long-grain  regular  enriched  cooked
6771,27315520,"Beef, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; soy-based sauce",Stir-fry and soy-based sauce mixtures,Peppers  sweet  green  cooked  boiled  drained  without salt
6772,27315520,"Beef, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; soy-based sauce",Stir-fry and soy-based sauce mixtures,Green beans  cooked  as ingredient
6773,27315520,"Beef, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; soy-based sauce",Stir-fry and soy-based sauce mixtures,Mushrooms  white  cooked  boiled  drained  without salt
6785,27317100,"Beef, dumplings, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",Meat mixed dishes,"Beef  round  top round steak  separable lean and fat  trimmed to 1/8"" fat  all grades  cooked  broiled"
6786,27317100,"Beef, dumplings, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",Meat mixed dishes,Dumpling  plain
6787,27317100,"Beef, dumplings, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",Meat mixed dishes,Carrots  frozen  cooked  boiled  drained  without salt
6788,27317100,"Beef, dumplings, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",Meat mixed dishes,Broccoli  frozen  chopped  cooked  boiled  drained  without salt
6789,27317100,"Beef, dumplings, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",Meat mixed dishes,Gravy  chicken  canned or bottled  ready-to-serve
6790,27317100,"Beef, dumplings, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",Meat mixed dishes,Vegetable oil  NFS
6791,27317110,"Beef, dumplings, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",Meat mixed dishes,"Beef  round  top round steak  separable lean and fat  trimmed to 1/8"" fat  all grades  cooked  broiled"
6792,27317110,"Beef, dumplings, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",Meat mixed dishes,Dumpling  plain
6793,27317110,"Beef, dumplings, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",Meat mixed dishes,Gravy  chicken  canned or bottled  ready-to-serve
6794,27317110,"Beef, dumplings, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",Meat mixed dishes,Corn  sweet  yellow  frozen  kernels cut off cob  boiled  drained  without salt
6795,27317110,"Beef, dumplings, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",Meat mixed dishes,Beans  snap  green  frozen  cooked  boiled  drained without salt
6796,27317110,"Beef, dumplings, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",Meat mixed dishes,Vegetable oil  NFS
6817,27320025,"Ham or pork, noodles and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce",Meat mixed dishes,Pork  fresh  loin  whole  separable lean only  cooked  roasted
6818,27320025,"Ham or pork, noodles and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce",Meat mixed dishes,Vegetable oil  NFS
6819,27320025,"Ham or pork, noodles and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce",Meat mixed dishes,Noodles  egg  enriched  cooked
6820,27320025,"Ham or pork, noodles and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce",Meat mixed dishes,Corn  sweet  yellow  frozen  kernels cut off cob  boiled  drained  without salt
6821,27320025,"Ham or pork, noodles and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce",Meat mixed dishes,Beans  snap  green  frozen  cooked  boiled  drained without salt
6822,27320025,"Ham or pork, noodles and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce",Meat mixed dishes,Salt  table  iodized
6823,27320027,"Ham or pork, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce",Meat mixed dishes,Pork  fresh  loin  whole  separable lean only  cooked  roasted
6824,27320027,"Ham or pork, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce",Meat mixed dishes,Vegetable oil  NFS
6825,27320027,"Ham or pork, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce",Meat mixed dishes,Noodles  egg  enriched  cooked
6826,27320027,"Ham or pork, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce",Meat mixed dishes,Carrots  frozen  cooked  boiled  drained  without salt
6827,27320027,"Ham or pork, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce",Meat mixed dishes,Broccoli  frozen  chopped  cooked  boiled  drained  without salt
6828,27320027,"Ham or pork, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce",Meat mixed dishes,Salt  table  iodized
6829,27320030,"Ham or pork, noodles and vegetables excluding carrots, broccoli, and dark-green leafy; cheese sauce",Meat mixed dishes,Pork  fresh  loin  whole  separable lean only  cooked  roasted
6830,27320030,"Ham or pork, noodles and vegetables excluding carrots, broccoli, and dark-green leafy; cheese sauce",Meat mixed dishes,Cheese sauce  prepared from recipe
6831,27320030,"Ham or pork, noodles and vegetables excluding carrots, broccoli, and dark-green leafy; cheese sauce",Meat mixed dishes,Noodles  egg  enriched  cooked
6832,27320030,"Ham or pork, noodles and vegetables excluding carrots, broccoli, and dark-green leafy; cheese sauce",Meat mixed dishes,Corn  sweet  yellow  frozen  kernels cut off cob  boiled  drained  without salt
6833,27320030,"Ham or pork, noodles and vegetables excluding carrots, broccoli, and dark-green leafy; cheese sauce",Meat mixed dishes,Beans  snap  green  frozen  cooked  boiled  drained without salt
6834,27320030,"Ham or pork, noodles and vegetables excluding carrots, broccoli, and dark-green leafy; cheese sauce",Meat mixed dishes,Salt  table  iodized
6835,27320040,"Pork, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce",Meat mixed dishes,Pork  fresh  loin  whole  separable lean only  cooked  roasted
6836,27320040,"Pork, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce",Meat mixed dishes,Vegetable oil  NFS
6837,27320040,"Pork, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce",Meat mixed dishes,Potatoes  boiled  cooked without skin  flesh  without salt
6838,27320040,"Pork, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce",Meat mixed dishes,Carrots  frozen  cooked  boiled  drained  without salt
6839,27320040,"Pork, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce",Meat mixed dishes,Broccoli  frozen  chopped  cooked  boiled  drained  without salt
6840,27320040,"Pork, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce",Meat mixed dishes,Salt  table  iodized
6841,27320070,"Ham or pork, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",Meat mixed dishes,Pork  fresh  loin  whole  separable lean only  cooked  roasted
6842,27320070,"Ham or pork, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",Meat mixed dishes,Tomato products  canned  sauce
6843,27320070,"Ham or pork, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",Meat mixed dishes,Noodles  egg  enriched  cooked
6844,27320070,"Ham or pork, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",Meat mixed dishes,Carrots  frozen  cooked  boiled  drained  without salt
6845,27320070,"Ham or pork, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",Meat mixed dishes,Broccoli  frozen  chopped  cooked  boiled  drained  without salt
6846,27320070,"Ham or pork, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",Meat mixed dishes,Vegetable oil  NFS
6847,27320070,"Ham or pork, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",Meat mixed dishes,Salt  table  iodized
6848,27320080,"Sausage, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce",Meat mixed dishes,Pork sausage  link/patty  cooked  pan-fried
6849,27320080,"Sausage, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce",Meat mixed dishes,Tomato products  canned  sauce
6850,27320080,"Sausage, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce",Meat mixed dishes,Noodles  egg  enriched  cooked
6851,27320080,"Sausage, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce",Meat mixed dishes,Corn  sweet  yellow  frozen  kernels cut off cob  boiled  drained  without salt
6852,27320080,"Sausage, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce",Meat mixed dishes,Beans  snap  green  frozen  cooked  boiled  drained without salt
6853,27320080,"Sausage, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce",Meat mixed dishes,Vegetable oil  NFS
6854,27320080,"Sausage, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce",Meat mixed dishes,Salt  table  iodized
6855,27320090,"Sausage, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",Meat mixed dishes,Pork sausage  link/patty  cooked  pan-fried
6856,27320090,"Sausage, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",Meat mixed dishes,Tomato products  canned  sauce
6857,27320090,"Sausage, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",Meat mixed dishes,Noodles  egg  enriched  cooked
6858,27320090,"Sausage, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",Meat mixed dishes,Carrots  frozen  cooked  boiled  drained  without salt
6859,27320090,"Sausage, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",Meat mixed dishes,Broccoli  frozen  chopped  cooked  boiled  drained  without salt
6860,27320090,"Sausage, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",Meat mixed dishes,Vegetable oil  NFS
6861,27320090,"Sausage, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",Meat mixed dishes,Salt  table  iodized
6862,27320100,"Pork, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",Meat mixed dishes,Pork  fresh  loin  whole  separable lean only  cooked  roasted
6863,27320100,"Pork, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",Meat mixed dishes,Tomato products  canned  sauce
6864,27320100,"Pork, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",Meat mixed dishes,Potatoes  boiled  cooked without skin  flesh  without salt
6865,27320100,"Pork, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",Meat mixed dishes,Carrots  frozen  cooked  boiled  drained  without salt
6866,27320100,"Pork, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",Meat mixed dishes,Broccoli  cooked  as ingredient
6867,27320100,"Pork, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",Meat mixed dishes,Vegetable oil  NFS
6868,27320100,"Pork, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce",Meat mixed dishes,Salt  table  iodized
6869,27320110,"Pork, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce",Meat mixed dishes,Pork  fresh  loin  whole  separable lean only  cooked  roasted
6870,27320110,"Pork, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce",Meat mixed dishes,Tomato products  canned  sauce
6871,27320110,"Pork, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce",Meat mixed dishes,Potatoes  boiled  cooked without skin  flesh  without salt
6872,27320110,"Pork, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce",Meat mixed dishes,Corn  sweet  yellow  frozen  kernels cut off cob  boiled  drained  without salt
6873,27320110,"Pork, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce",Meat mixed dishes,Beans  snap  green  frozen  cooked  boiled  drained without salt
6874,27320110,"Pork, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce",Meat mixed dishes,Vegetable oil  NFS
6875,27320110,"Pork, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce",Meat mixed dishes,Salt  table  iodized
6876,27320120,"Sausage, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",Meat mixed dishes,Pork sausage  link/patty  cooked  pan-fried
6877,27320120,"Sausage, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",Meat mixed dishes,Gravy  chicken  canned or bottled  ready-to-serve
6878,27320120,"Sausage, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",Meat mixed dishes,Potatoes  boiled  cooked without skin  flesh  without salt
6879,27320120,"Sausage, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",Meat mixed dishes,Carrots  frozen  cooked  boiled  drained  without salt
6880,27320120,"Sausage, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",Meat mixed dishes,Broccoli  frozen  chopped  cooked  boiled  drained  without salt
6881,27320120,"Sausage, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",Meat mixed dishes,Vegetable oil  NFS
6882,27320120,"Sausage, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",Meat mixed dishes,Salt  table  iodized
6883,27320130,"Sausage, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",Meat mixed dishes,Pork sausage  link/patty  cooked  pan-fried
6884,27320130,"Sausage, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",Meat mixed dishes,Gravy  chicken  canned or bottled  ready-to-serve
6885,27320130,"Sausage, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",Meat mixed dishes,Potatoes  boiled  cooked without skin  flesh  without salt
6886,27320130,"Sausage, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",Meat mixed dishes,Corn  sweet  yellow  frozen  kernels cut off cob  boiled  drained  without salt
6887,27320130,"Sausage, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",Meat mixed dishes,Beans  snap  green  frozen  cooked  boiled  drained without salt
6888,27320130,"Sausage, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",Meat mixed dishes,Vegetable oil  NFS
6889,27320130,"Sausage, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",Meat mixed dishes,Salt  table  iodized
6890,27320140,"Pork, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",Meat mixed dishes,Pork  fresh  loin  whole  separable lean only  cooked  roasted
6891,27320140,"Pork, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",Meat mixed dishes,Gravy  chicken  canned or bottled  ready-to-serve
6892,27320140,"Pork, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",Meat mixed dishes,Potatoes  boiled  cooked without skin  flesh  without salt
6893,27320140,"Pork, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",Meat mixed dishes,Carrots  frozen  cooked  boiled  drained  without salt
6894,27320140,"Pork, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",Meat mixed dishes,Broccoli  frozen  chopped  cooked  boiled  drained  without salt
6895,27320140,"Pork, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",Meat mixed dishes,Vegetable oil  NFS
6896,27320140,"Pork, potatoes, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy",Meat mixed dishes,Salt  table  iodized
6897,27320150,"Pork, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",Meat mixed dishes,Pork  fresh  loin  whole  separable lean only  cooked  roasted
6898,27320150,"Pork, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",Meat mixed dishes,Gravy  chicken  canned or bottled  ready-to-serve
6899,27320150,"Pork, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",Meat mixed dishes,Potatoes  boiled  cooked without skin  flesh  without salt
6900,27320150,"Pork, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",Meat mixed dishes,Corn  sweet  yellow  frozen  kernels cut off cob  boiled  drained  without salt
6901,27320150,"Pork, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",Meat mixed dishes,Beans  snap  green  frozen  cooked  boiled  drained without salt
6902,27320150,"Pork, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",Meat mixed dishes,Vegetable oil  NFS
6903,27320150,"Pork, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy",Meat mixed dishes,Salt  table  iodized
6904,27320210,"Pork, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce",Meat mixed dishes,Pork  fresh  loin  whole  separable lean only  cooked  roasted
6905,27320210,"Pork, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce",Meat mixed dishes,Vegetable oil  NFS
6906,27320210,"Pork, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce",Meat mixed dishes,Potatoes  boiled  cooked without skin  flesh  without salt
6907,27320210,"Pork, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce",Meat mixed dishes,Corn  sweet  yellow  frozen  kernels cut off cob  boiled  drained  without salt
6908,27320210,"Pork, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce",Meat mixed dishes,Beans  snap  green  frozen  cooked  boiled  drained without salt
6909,27320210,"Pork, potatoes, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce",Meat mixed dishes,Salt  table  iodized
6913,27320320,"Pork, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; soy-based sauce",Stir-fry and soy-based sauce mixtures,Pork  fresh  loin  whole  separable lean only  cooked  roasted
6914,27320320,"Pork, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; soy-based sauce",Stir-fry and soy-based sauce mixtures,Vegetable oil  NFS
6915,27320320,"Pork, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; soy-based sauce",Stir-fry and soy-based sauce mixtures,Garlic  raw
6916,27320320,"Pork, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; soy-based sauce",Stir-fry and soy-based sauce mixtures,Ginger root  raw
6917,27320320,"Pork, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; soy-based sauce",Stir-fry and soy-based sauce mixtures,Onions  cooked  boiled  drained  without salt
6918,27320320,"Pork, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; soy-based sauce",Stir-fry and soy-based sauce mixtures,Onions  spring or scallions (includes tops and bulb)  raw
6919,27320320,"Pork, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; soy-based sauce",Stir-fry and soy-based sauce mixtures,Soy sauce made from soy and wheat (shoyu)
6920,27320320,"Pork, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; soy-based sauce",Stir-fry and soy-based sauce mixtures,Soup  beef broth or bouillon canned  ready-to-serve
6921,27320320,"Pork, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; soy-based sauce",Stir-fry and soy-based sauce mixtures,Rice  white  long-grain  regular  enriched  cooked
6922,27320320,"Pork, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; soy-based sauce",Stir-fry and soy-based sauce mixtures,Carrots  cooked  boiled  drained  without salt
6923,27320320,"Pork, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; soy-based sauce",Stir-fry and soy-based sauce mixtures,Broccoli  cooked  as ingredient
6924,27320330,"Pork, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; soy-based sauce",Stir-fry and soy-based sauce mixtures,Pork  fresh  loin  whole  separable lean only  cooked  roasted
6925,27320330,"Pork, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; soy-based sauce",Stir-fry and soy-based sauce mixtures,Vegetable oil  NFS
6926,27320330,"Pork, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; soy-based sauce",Stir-fry and soy-based sauce mixtures,Garlic  raw
6927,27320330,"Pork, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; soy-based sauce",Stir-fry and soy-based sauce mixtures,Ginger root  raw
6928,27320330,"Pork, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; soy-based sauce",Stir-fry and soy-based sauce mixtures,Onions  cooked  boiled  drained  without salt
6929,27320330,"Pork, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; soy-based sauce",Stir-fry and soy-based sauce mixtures,Onions  spring or scallions (includes tops and bulb)  raw
6930,27320330,"Pork, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; soy-based sauce",Stir-fry and soy-based sauce mixtures,Soy sauce made from soy and wheat (shoyu)
6931,27320330,"Pork, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; soy-based sauce",Stir-fry and soy-based sauce mixtures,Soup  beef broth or bouillon canned  ready-to-serve
6932,27320330,"Pork, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; soy-based sauce",Stir-fry and soy-based sauce mixtures,Rice  white  long-grain  regular  enriched  cooked
6933,27320330,"Pork, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; soy-based sauce",Stir-fry and soy-based sauce mixtures,Peppers  sweet  green  cooked  boiled  drained  without salt
6934,27320330,"Pork, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; soy-based sauce",Stir-fry and soy-based sauce mixtures,Green beans  cooked  as ingredient
