ingredient,food_description,ingredient_iD,carbs,cholesterol,fiber,calories,protein,sugar,monosaturated_fat,polysaturated_fat,saturated_fat,sodium
CAMPBELL'S SOUP AT HAND,"CAMPBELL'S SOUP AT HAND,CRM OF BROCCOLI SOUP",6589,5.57,2,2.299999952,47,0.98,0.980000019,0.0,0.0,0.656,292
CAMPBELL'S SOUP AT HAND,"CAMPBELL'S SOUP AT HAND,CREAMY CHICK SOUP",6590,4.26,2,1.299999952,43,1.31,0.330000013,0.0,0.0,0.492,292
CAMPBELL'S SOUP AT HAND,"CAMPBELL'S SOUP AT HAND,CREAMY TOMATO SOUP",6592,11.15,2,1.299999952,62,1.31,7.539999962,0.0,0.0,0.328,308
CAMPBELL'S SOUP AT HAND,"CAMPBELL'S SOUP AT HAND,ITALIAN STYLE WEDDING SOUP",6593,3.28,3,0.300000012,24,0.98,0.980000019,0.0,0.0,0.328,282
CAMPBELL'S SOUP AT HAND,"CAMPBELL'S SOUP AT HAND,NEW ENGLAND CLAM CHOWDER",6594,4.26,2,1.299999952,40,1.31,0.0,0.0,0.0,0.328,292
CAMPBELL SOUP COMPANY,"CAMPBELL SOUP COMPANY,CAMPBELL'S SOUP AT HAND,VEG BF SOUP",6595,3.28,2,0.300000012,20,0.98,1.639999986,0.0,0.0,0.164,305
CAMPBELL'S SOUP AT HAND,"CAMPBELL'S SOUP AT HAND,VELVETY POTATO SOUP",6596,6.89,2,1.299999952,51,0.66,1.639999986,0.0,0.0,0.328,285
CAMPBELL SOUP COMPANY,"CAMPBELL SOUP COMPANY,PACE,CHIPOTLE CHUNKY SALSA",6597,6.25,0,3.099999905,25,0.0,6.25,0.0,0.0,0.0,719
CAMPBELL SOUP COMPANY,"CAMPBELL SOUP COMPANY,PACE,CILANTRO CHUNKY SALSA",6598,6.25,0,3.099999905,25,0.0,6.25,0.0,0.0,0.0,844
CAMPBELL SOUP COMPANY,"CAMPBELL SOUP COMPANY,PACE,ENCHILADA SAU",6599,8.33,0,1.700000048,40,1.67,6.670000076,0.0,0.0,0.0,867
CAMPBELL SOUP COMPANY,"CAMPBELL SOUP COMPANY,PACE,GRN TACO SAU",6600,6.25,0,0.0,25,0.0,6.25,0.0,0.0,0.0,625
CAMPBELL SOUP COMPANY,"CAMPBELL SOUP COMPANY,PACE,LIME & GARLIC CHUNKY SALSA",6601,9.38,0,3.099999905,38,0.0,6.25,0.0,0.0,0.0,656
CAMPBELL SOUP COMPANY,"CAMPBELL SOUP COMPANY,PACE,ORGANIC PICANTE SAU",6602,6.25,0,3.099999905,25,0.0,6.25,0.0,0.0,0.0,688
CAMPBELL SOUP COMPANY,"CAMPBELL SOUP COMPANY,PACE,PICANTE SAU",6603,6.25,0,3.099999905,25,0.0,6.25,0.0,0.0,0.0,781
CAMPBELL SOUP COMPANY,"CAMPBELL SOUP COMPANY,PACE,RED TACO SAU",6604,12.5,0,0.0,50,0.0,6.25,0.0,0.0,0.0,813
CAMPBELL SOUP COMPANY,"CAMPBELL SOUP COMPANY,PACE,THICK & CHUNKY SALSA",6605,6.25,0,3.099999905,25,0.0,6.25,0.0,0.0,0.0,719
CAMPBELL SOUP COMPANY,"CAMPBELL SOUP COMPANY,SWANSON BROTH,CERT ORGANIC VEG BROTH",6609,1.28,0,0.0,5,0.0,0.850000024,0.0,0.0,0.0,234
CAMPBELL SOUP COMPANY,"CAMPBELL SOUP COMPANY,SWANSON BROTH,VEG BROTH",6615,1.28,0,0.0,5,0.0,0.850000024,0.0,0.0,0.0,400
CAMPBELL SOUP COMPANY,"CAMPBELL SOUP COMPANY,HLTHY RQUST STYLE WEDDING SP",6617,6.12,6,0.800000012,45,2.86,1.220000029,0.0,0.0,0.612,196
SAUCE,"SAUCE,CHS SAU MIX,DRY",6720,60.52,23,1.0,438,7.68,10.26000023,6.868,0.983,8.44,3202
SOUP,"SOUP,CHICK CORN CHOWDER,CHUNKY,RTS,SINGLE BRAND",6725,7.5,11,0.899999976,99,3.1,0.0,1.27,1.9,1.75,299
SOUP,"SOUP,CHICK MUSHROOM CHOWDER,CHUNKY,RTS,SINGLE BRAND",6726,7.1,6,1.399999976,80,3.0,0.0,0.837,1.74,1.15,339
SOUP,"SOUP,POTATO HAM CHOWDER,CHUNKY,RTS,SINGLE BRAND",6728,5.6,9,0.600000024,80,2.7,0.0,2.46,0.32,1.62,364
