,Spoonacular Recipe ID,Recipe,Recipe Sodium,Recipe Sugar
0,631895,A Fruit That Descended From Paradise – Figs Poached In Red Wine,12mg,16g
1,632168,Almond Pistachio Cookied With Saffron Icing,26mg,7g
2,632176,Almond Ricotta Cake,67mg,17g
3,632622,Apple- Pomegranate Crisp,56mg,25g
4,633039,Aunt Ivy’s Raw Macadamia and Goji Berry Cookies,3mg,12g
5,633080,Authentic Kentucky Bourbon Balls,12mg,8g
6,633106,Autumn Sangria,1mg,9g
7,633111,Aval Kadala Burfi,4mg,5g
8,633302,Bacon Caramels,48mg,7g
9,633547,Baked Cinnamon Apple Slices,5mg,13g
10,633559,Baked Corned Beef with Sauteed Cabbage and Baked New Potatoes,88mg,17g
11,633652,Baked Jalapeno Dip,64mg,1g
12,634004,Banana Bread Nice Cream,1mg,15g
13,634141,Banana Oatmeal Breakfast Muffins,75mg,11g
14,634300,Barbecued Corn on the Cob With Spiced Butter,26mg,10g
15,635041,Bittersweet chocolate pudding,98mg,21g
16,635248,Blackberry Walnut Cookies,24mg,9g
17,635743,Bournvita Marshmallow Cookies,46mg,6g
18,636103,Brie With Cardamom-Scented Clementine Chutney,92mg,1g
19,636141,Broad Beans With Lemon & Thyme Vinaigrette,24mg,2g
20,636874,Candy Cane Chocolate Marshmallows,6mg,8g
21,637383,Chai Concentrate,22mg,25g
22,637761,Cherry ice cream,35mg,17g
23,637822,Chewy Chocolate Chip Cookies,76mg,14g
24,639165,Chocolate Pistachio Energy Bites,8mg,17g
25,639450,Cinnamon Cookies,30mg,5g
26,639618,Classic Mint Julep,17mg,15g
27,639715,Coconut Almond Macaroons,5mg,7g
28,639756,Coconut Custard Tarts With Dark Chocolate,67mg,8g
29,640204,Country Pork Skillet With Potatoes and Mushrooms,81mg,1g
30,640377,Hibiscus Cranberry Sauce,6mg,18g
31,640398,Cranberry Orange Scones,55mg,5g
32,640489,Cream Cheese Cookies,14mg,1g
33,640625,Creamy Chocolate Pudding With Coconut Whipped Cream,82mg,21g
34,640708,Creamy Squash Orzo,17mg,2g
35,641093,Curried Pork Chops and Cauliflower With Basmati Rice,89mg,6g
36,641649,Dried Cranberry Chocolate Cookies,93mg,16g
37,644586,Ginger Hottendots,40mg,11g
38,644885,Gluten Free Vegan Gnocchi,69mg,1g
39,644898,Gluten-free Pumpkin Doughnut Holes (a.k.a. Mini Muffins),57mg,4g
40,645479,Green Monster Ice Pops,92mg,9g
41,645516,Green Side Salad With Sweet and Spicy Basil Vinaigrette,50mg,3g
42,645555,Green Tomato Salad,25mg,7g
43,646825,Holiday Cookies,64mg,10g
44,647412,Hot Charlotte Cocktail,1mg,17g
45,647928,Insanely Chocolaty Chewable Sandwich Cookies,69mg,11g
46,649328,Lavender Tea With Lemon French Macarons,11mg,9g
47,649411,Lebanese Tabouleh,57mg,2g
48,649413,Lebanese Sweet Tahini Swirls,5mg,13g
49,650573,Macaroon Cookies,95mg,6g
50,650718,Mandarin and Ruby Red Grapefruit Tiramisu,74mg,21g
51,650755,Mango Black Tea Skinny Cocktail,2mg,1g
52,651773,Meyer Lemony Apple Crumble,76mg,18g
53,651837,Midnight Crackles Cookies,71mg,7g
54,651975,Mini Spiced Apple Tarts with Chocolate,65mg,13g
55,652964,Nasi Minyak (Malaysian Festive Rice),68mg,5g
56,653352,Nutella Brownies,47mg,17g
57,653810,Orange Banana Muffins With Pistachios,89mg,12g
58,654017,Oreo Bon Bons,60mg,10g
59,654517,"Pandan, Coconut and Chocolate Burfi",54mg,10g
60,654936,Pasta with Raw Tomato & Lemon Infused Olive Oil,7mg,0g
61,655130,Peach Melba,15mg,2g
62,655683,Peppermint Patties,29mg,10g
63,655712,"Peppery, Tangy Corn Salad",96mg,5g
64,656297,Pistachio Milk Chocolate Chip Cookies,49mg,9g
65,657359,Pumpkin Pie Smoothie,88mg,13g
66,657686,Quinoa Tabbouleh Salad,8mg,1g
67,658129,"Red, White, and Blue Fruit Salsa",34mg,11g
68,658808,Rosemary Thyme Marinated Mushrooms,8mg,3g
69,658975,SAFFRON INFUSED RICE PUDDING WITH SWEETENED WHOLE WHEAT PANCAKES,21mg,23g
70,659412,Sautéed Balsamic Green Beans With Cherry Tomatoes,17mg,6g
71,660707,Southwest Egg Rolls with Cilantro Lime Pesto,91mg,1g
72,660932,Spiced Apple Cider,9mg,19g
73,661760,Strawberry Bites,97mg,4g
74,661912,Strawberry Vanilla Bean Cheesecake Pudding Pops,62mg,12g
75,662208,Summer Berry Pudding,2mg,10g
76,662669,Swiss Chard Linguine,23mg,1g
77,664452,Vegan Mango Chia seed Mango Coconut Ice Pops,7mg,24g
78,664699,Vegetarian Serbian Rice Pilaf,37mg,2g
79,664792,Venison with Saskatoon Berry Sauce,53mg,4g
80,665000,Watercress Salad With Miso-Lime Dressing,87mg,4g
81,665301,Whole-wheat Flaxseed and Fennel Crackers,11mg,0g
82,665330,Wild Blackberry Sorbet With Garden Mint & Lavender,5mg,18g
83,715480,Cajun Style Sweet Potato Fries,4mg,4g
84,716433,Easiest Breakfast Ever: Sunny Fruit Parfait,10mg,7g
85,1095687,Roasted Figs and Cherries Dessert,1mg,15g
86,1095712,No-Bake Cookies with Coconut Oil,27mg,6g
87,1505413,No Bake Protein Balls,29mg,8g
88,1697561,Berries and Cream Chocolate Pie,0mg,0g
89,1697573,Gougères Gruyère – French Appetizer,2mg,0g
90,1697601,Linguine with Clams - Linguine alle Vongole,8mg,0g
91,1697613,Apple Cider Muffins with Cinnamon Streusel,28mg,1g
92,1697615,How to Make Croissants (and Pain au Chocolat!),0mg,0g
93,1697653,Butter Baked Onion - Pure Hygge Food,1mg,0g
94,1697691,Quick & Easy Blueberry Crisp,2mg,1g
95,1697727,"Make this Creamy, Refreshing Dip & Be Ready for a Party in Less than 5 Minutes",36mg,3g
96,1697795,Mom's Best Chocolate Chip Cookies,6mg,0g
97,157497,Chocolate Tart with a Bourbon Glaze and Pumpkin Whipped Cream,19mg,18g
98,632118,Almond Cranberry Cookies,41mg,1g
99,632148,Almond Lime Squares,71mg,1g
100,632577,Apple Pie Pancakes,14mg,11g
101,632790,Arugula Walnut Pesto,56mg,1g
102,633547,Baked Cinnamon Apple Slices,5mg,13g
103,633578,Baked Doughnuts,32mg,11g
104,634141,Banana Oatmeal Breakfast Muffins,75mg,11g
105,634180,Banana Smoothie Boost,55mg,6g
106,634854,Berry Fruit Crumble,58mg,14g
107,635446,Blueberry Cinnamon Porridge,33mg,10g
108,635679,Borani Esfanaaj,99mg,2g
109,635862,Braised Red Cabbage,82mg,15g
110,636022,Breadnut Cakes,37mg,3g
111,636103,Brie With Cardamom-Scented Clementine Chutney,92mg,1g
112,636540,Buttermilk Buckle + Grape + Blueberry + Streusel,64mg,17g
113,636898,Cannellini Bean Dip,4mg,0g
114,637824,Chewy Gingersnaps,73mg,10g
115,639116,Chocolate nut spread,12mg,8g
116,639161,Chocolate Peppermint Cookies,37mg,13g
117,639715,Coconut Almond Macaroons,5mg,7g
118,639778,Coconut Israeli Couscous Studded With Pomegranate,37mg,11g
119,639843,Cod Fillet In Lemon Grass Shallot Sauce,19mg,14g
120,639865,Coffee Cookies,3mg,3g
121,639954,Colorful Wild Rice Salad,21mg,13g
122,640058,Corn and Cranberry Pancakies,27mg,4g
123,640366,Cranberry Crumb Bars,95mg,6g
124,640405,Cranberry Pumpkin Spice Energy Bites,5mg,9g
125,640453,Cranegranate Sauce,3mg,16g
126,640461,Crawfish Cake Sliders,87mg,3g
127,641314,Decadent Homemade Oreos,89mg,22g
128,641726,Dulce De Leche Brownies,54mg,8g
129,641755,Durian Panna Cotta,33mg,18g
130,642026,Easy Mojito,18mg,16g
131,642554,Fall Fruit Compote,30mg,20g
132,643455,"Fresh Cherry Tomato Salad With Red Onions, Avocado and Pimentón",56mg,3g
133,643775,Indian-Style Pumpkin Side Dish,3mg,4g
134,644885,Gluten Free Vegan Gnocchi,69mg,1g
135,644898,Gluten-free Pumpkin Doughnut Holes (a.k.a. Mini Muffins),57mg,4g
136,645516,Green Side Salad With Sweet and Spicy Basil Vinaigrette,50mg,3g
137,645621,Grilled Chicken & Corn Red Potato Salad,62mg,4g
138,646825,Holiday Cookies,64mg,10g
139,647277,Honey Roasted Root Vegetables,18mg,5g
140,649328,Lavender Tea With Lemon French Macarons,11mg,9g
141,651186,Masala Roti/chapati( Spiced Indian Flat Bread),34mg,1g
142,651930,Mini Bournvita Bundt Cakes,18mg,6g
143,652995,Nectarine Blueberry Basil Fruit Salad,1mg,9g
144,653005,Neiman Marcus Oatmeal Chocolate Chip Cookies,78mg,12g
145,653192,No-Bake Fudge Brandy Brownies,99mg,12g
146,653442,Oatmeal Brownie Bars,72mg,9g
147,654274,Overnight Steel Cut Oatmeal,38mg,2g
148,655130,Peach Melba,15mg,2g
149,655212,Peanut Butter and Apple Oatmeal Breakfast Bars,61mg,17g
150,655589,Penne with Goat Cheese and Basil,53mg,1g
151,655712,"Peppery, Tangy Corn Salad",96mg,5g
152,657716,"Radicchio & Endive Salad with Pecans, Apple & Mandarin",60mg,10g
153,658778,"Rose Petal, Milk and Honey Agar Agar",27mg,19g
154,659412,Sautéed Balsamic Green Beans With Cherry Tomatoes,17mg,6g
155,661834,Strawberry Mango Green Tea Limeade,14mg,16g
156,661912,Strawberry Vanilla Bean Cheesecake Pudding Pops,62mg,12g
157,662038,Stuffed Lemons in the Oven,53mg,2g
158,662614,Sweet Pumpkin Beer Bread,11mg,14g
159,663396,Thyme and Black Pepper Cheez-Its,38mg,0g
160,663853,Tropical Breakfast Quinoa,51mg,8g
161,664281,Vampire Kiss Martini,3mg,4g
162,664473,Vegan Peanut Butter Chocolate Fudge,18mg,11g
163,664474,Vegan Pumpkin Pie Butter Cups,70mg,11g
164,664825,Viennese Biscuit,49mg,1g
165,664912,Waldorf Salad With Fresh Goat Cheese,2mg,7g
166,665000,Watercress Salad With Miso-Lime Dressing,87mg,4g
167,665185,White Chocolate Mocha Cookies,41mg,4g
168,665247,White Veal Stock (Fond Blanc De Veau),38mg,4g
169,665461,Xocai Chocolate S'mores,19mg,5g
170,665483,Xocai Nugget Pudding,53mg,7g
171,665527,Yellow Squash Noodles with Tomato Basil Sauce,85mg,11g
172,715393,Berry-licious Smoothie Bowl,92mg,22g
173,715480,Cajun Style Sweet Potato Fries,4mg,4g
174,1095737,Pistachio Pesto Penne,15mg,2g
175,1098299,Berry Frozen Yogurt Popsicles,25mg,9g
176,1157763,New Years Eve Countdown Cookies,63mg,6g
177,1697529,Lemon Blackberry Bread with Lemon Glaze,22mg,1g
178,1697533,Roasted Tomato and White Bean Stew,11mg,3g
179,1697539,Peach Mango Turnovers,85mg,6g
180,1697569,Peach Upside Down Cake,22mg,0g
181,1697593,Buffalo Chicken Thighs,73mg,0g
182,1697627,Berry Chantilly Cake,15mg,0g
183,1697669,The Best Banana Nut Bread,43mg,0g
184,1697671,Sour Cream Coffee Cake,38mg,0g
185,1697679,5-minute Ricotta Garlic Herb Dip,1mg,0g
186,1697725,Barchiglia - A Pear-Almond Tart from the Old Country,20mg,2g
187,1697817,Don't Leave Home Without It: Homemade Beef Jerky to Take on Your Next Hike,18mg,0g
188,602644,Whisky Seville Marmalade Souffle,34mg,13g
189,631841,15 Minute Healthy Dark Chocolate Truffles,51mg,7g
190,631846,18th Century Syllabub,49mg,17g
191,631880,5-Minute Blueberry Chia Jam,3mg,10g
192,632194,Almond Tea Cookies,50mg,4g
193,632856,Asian Orange Noodle Salad,32mg,1g
194,633751,Baked Pumpkin Chocolate Chip Pancakes,14mg,7g
195,633942,Balsamic Roasted Vegetables,75mg,9g
196,635215,Blackberry Honey Cocktail,3mg,20g
197,635414,Blueberry Basil Galette,32mg,14g
198,636080,Breakfast Sticky Buns,34mg,16g
199,636141,Broad Beans With Lemon & Thyme Vinaigrette,24mg,2g
200,636331,Brownie Cupcakes,36mg,11g
201,636857,Candied Nuts,49mg,8g
202,636898,Cannellini Bean Dip,4mg,0g
203,637822,Chewy Chocolate Chip Cookies,76mg,14g
204,638852,Chocolate Brownie With Orange,68mg,13g
205,638883,Chocolate Carrot Cake Baked Doughnuts,99mg,24g
206,639156,Chocolate Peanut Butter-Filled Cookies,92mg,12g
207,639287,Chocolate-Peppermint Thumbprint Cookies,47mg,19g
208,639412,Cilantro Lime Jalapeno Corn,90mg,6g
209,639487,Cinnamon Sugar Fried Apples,19mg,12g
210,640058,Corn and Cranberry Pancakies,27mg,4g
211,640377,Hibiscus Cranberry Sauce,6mg,18g
212,640489,Cream Cheese Cookies,14mg,1g
213,641270,Dark Chocolate Walnut Biscotti,51mg,7g
214,641374,Delectable Passover Magic Bars,49mg,15g
215,641445,Dessert That's No Problem: Baked Pears with Oatmeal Crumble,57mg,22g
216,641732,Dulce De Leche Swirled Amaretto Frozen Yogurt,3mg,0g
217,641755,Durian Panna Cotta,33mg,18g
218,642614,Fast Tiramisu,65mg,9g
219,643104,Florentine Cookies With Added Pistachios & Raisins,5mg,6g
220,644188,"Garden Fresh Heirloom Tomato, Pepper, and Cucumber Salad",35mg,1g
221,644624,Ginger Puffs,29mg,5g
222,644819,Gluten Free Dairy Free Chocolate Dipped Coconut Macaroons,15mg,7g
223,644914,Glutinous Rice Poppy Muffins,35mg,9g
224,646033,Guinness Beer Cupcakes,70mg,17g
225,646411,Hazelnut Truffles,3mg,2g
226,646877,Home made organic maple granola with fresh fruit,77mg,21g
227,648183,Italian Panna Cotta,69mg,17g
228,648698,Kahlua Tiramisu,45mg,10g
229,649411,Lebanese Tabouleh,57mg,2g
230,649413,Lebanese Sweet Tahini Swirls,5mg,13g
231,649733,Lemon Pilaf Chicken,55mg,1g
232,649794,Lemon square bars,6mg,7g
233,650180,Little phyllo cakes with blackberry,55mg,9g
234,651389,Medenjaci - Croatian Honey Spice Cookies,73mg,9g
235,651958,Mini frittatas with quinoa,57mg,0g
236,652078,Miso Soup With Thin Noodles,75mg,3g
237,652857,My First Cake Pops,7mg,1g
238,653005,Neiman Marcus Oatmeal Chocolate Chip Cookies,78mg,12g
239,653810,Orange Banana Muffins With Pistachios,89mg,12g
240,653910,Orange Marmalade Muffins,36mg,19g
241,653971,Orange Truffles,62mg,23g
242,654423,Pan Roasted New Potatoes With Fresh Herbs,80mg,2g
243,655477,Peas And Tarragon With Fresh Goat Cheese,3mg,3g
244,655838,Pesto Rolls,71mg,0g
245,657875,Raspberry Jam Swirled Buns,72mg,8g
246,657965,Raw Banana Ice Cream Cups,6mg,5g
247,657972,Raw Chocolate Energy Bars,29mg,17g
248,658129,"Red, White, and Blue Fruit Salsa",34mg,11g
249,658619,Roasted Pears,3mg,22g
250,658624,Roasted Plum Oatmeal,59mg,16g
251,658823,Rosewater Lavender Shortbread,5mg,6g
252,659447,Sauteed Trout with Pecans,96mg,1g
253,661199,Spicy Slow Cooker Pork Carnitas,49mg,4g
254,661676,Stir Fry Sliced Pork With Young Ginger and Spring Onion - Featured In Group,33mg,0g
255,662416,Sweet & Salty Granola Bars,98mg,11g
256,662582,Sweet Potato Green Tea Pancake Roll,65mg,9g
257,662632,Sweet Summer Salad,61mg,8g
258,663462,Toasted Marshmallow Ice Cream,90mg,22g
259,663853,Tropical Breakfast Quinoa,51mg,8g
260,664327,Vanilla Panna Cotta with Chocolate Ganache,8mg,1g
261,664452,Vegan Mango Chia seed Mango Coconut Ice Pops,7mg,24g
262,664825,Viennese Biscuit,49mg,1g
263,664912,Waldorf Salad With Fresh Goat Cheese,2mg,7g
264,664932,Walnut Pesto,24mg,0g
265,664997,Water-Cado Salad,59mg,12g
266,665178,White chocolate cupcakes with pineapple,38mg,22g
267,665185,White Chocolate Mocha Cookies,41mg,4g
268,665306,Wholemeal Steam Bun,75mg,1g
269,665330,Wild Blackberry Sorbet With Garden Mint & Lavender,5mg,18g
270,665463,Xocai Healthy Chocolate Ice Cream,19mg,20g
271,665527,Yellow Squash Noodles with Tomato Basil Sauce,85mg,11g
272,665781,Zucchini Rice,52mg,2g
273,665823,Melt Your Heart,47mg,11g
274,666225,Easy Mango Tart Recipe,37mg,20g
275,798956,Mango Banana Coconut Smoothie,11mg,12g
276,1018582,Delicious Mango Pineapple Smoothie,48mg,21g
277,1095687,Roasted Figs and Cherries Dessert,1mg,15g
278,1155776,Easy Homemade Chocolate Truffles,33mg,23g
279,1157763,New Years Eve Countdown Cookies,63mg,6g
280,1697537,Hawaiian Poke (Aloha Poke),57mg,1g
281,1697795,Mom's Best Chocolate Chip Cookies,6mg,0g
282,1697833,Chocolate Orange Cake,37mg,3g
283,157100,Vegan Pumpkin Chocolate Chip Cookies,55mg,8g
284,157497,Chocolate Tart with a Bourbon Glaze and Pumpkin Whipped Cream,19mg,18g
285,631830,10 Minute Brownies,2mg,14g
286,631878,5 Minute to Magnificent Cake,46mg,8g
287,631880,5-Minute Blueberry Chia Jam,3mg,10g
288,632570,Apple Pie Honey Wheat Scones,94mg,14g
289,633082,Authentic Mexican Wedding Cookies,34mg,5g
290,633852,baked tomatoes,61mg,2g
291,633998,Banana Blueberry Pancakes,44mg,9g
292,634898,Best Chocolate Chip Cookies,66mg,17g
293,635414,Blueberry Basil Galette,32mg,14g
294,636112,Brilliant & Beautiful Blueberry Tart,47mg,12g
295,636300,Brown sugar & Spice Sugar cookie frogs,58mg,7g
296,637187,Carrot Cake Snack Bites,10mg,5g
297,637482,Chavrie Stuffed Grape Leaves,6mg,3g
298,638026,Chicken Chili With Black Eyed Peas,56mg,3g
299,638852,Chocolate Brownie With Orange,68mg,13g
300,638981,Chocolate Crinkle Cookies,7mg,16g
301,639493,Cinnamon Toffee Praline Oatmeal Cookies,91mg,5g
302,639600,Classic Fruit Salad with Honey and Lemon,2mg,13g
303,640204,Country Pork Skillet With Potatoes and Mushrooms,81mg,1g
304,640366,Cranberry Crumb Bars,95mg,6g
305,640457,Crash Hot Potatoes,95mg,0g
306,640489,Cream Cheese Cookies,14mg,1g
307,640693,Creamy Ratatouille Over Penne,41mg,9g
308,641726,Dulce De Leche Brownies,54mg,8g
309,641978,Easy Granola,61mg,2g
310,642152,"Easy, Healthy Peanut Butter Chocolate Chip Cookies",18mg,4g
311,643775,Indian-Style Pumpkin Side Dish,3mg,4g
312,644898,Gluten-free Pumpkin Doughnut Holes (a.k.a. Mini Muffins),57mg,4g
313,645572,Griet's vegetable soup,98mg,7g
314,646033,Guinness Beer Cupcakes,70mg,17g
315,647465,Hot Garlic and Oil Pasta,9mg,0g
316,647471,Hot Giardiniera,49mg,2g
317,647555,Hotcakes,42mg,5g
318,647608,Huevos Rancheros,7mg,1g
319,648303,Itty Bitty Burgers,98mg,0g
320,648698,Kahlua Tiramisu,45mg,10g
321,648972,Kiwifruit & Lime Cupcakes,17mg,15g
322,649413,Lebanese Sweet Tahini Swirls,5mg,13g
323,649808,Lemon Thumbprint Cookies,59mg,6g
324,650485,Luscious Orange Cardamom Smoothie,2mg,20g
325,651140,Marshmallow S'mores Bites,29mg,8g
326,651186,Masala Roti/chapati( Spiced Indian Flat Bread),34mg,1g
327,651225,"Mashed Potatoes with Garlic, Sage & Goat Cheese",73mg,1g
328,651989,Mini-Strawberry Cheesecakes,74mg,5g
329,652345,Monogram Cookies,65mg,6g
330,652433,Moroccan Lemon Shish Kebabs,66mg,0g
331,652434,Moroccan Orange and Almond Cake,95mg,15g
332,652857,My First Cake Pops,7mg,1g
333,652995,Nectarine Blueberry Basil Fruit Salad,1mg,9g
334,653005,Neiman Marcus Oatmeal Chocolate Chip Cookies,78mg,12g
335,653149,No Cook Cranberry Orange Relish,1mg,23g
336,654313,Pachai Payaru Kulambu (Green Moong Dal Curry),77mg,6g
337,654512,Pandan Chiffon Cake,54mg,8g
338,654517,"Pandan, Coconut and Chocolate Burfi",54mg,10g
339,654688,Parmesan Stuffed Mushrooms,54mg,1g
340,657686,Quinoa Tabbouleh Salad,8mg,1g
341,657889,Raspberry Peach Crisp,41mg,16g
342,658970,Saffron Buns - Swedish Lussebullar,9mg,0g
343,659447,Sauteed Trout with Pecans,96mg,1g
344,659867,Sholeh Zard: Saffron Infused Rice Pudding,52mg,21g
345,660261,Slow Cooked Applesauce,7mg,13g
346,662231,"Summer Kale, Orange & Pomegranate Salad with Moscato Dressing",25mg,7g
347,663222,The Best Lemon Bars in the World,31mg,23g
348,663544,Tomatillo Sauce (Salsa Verde),51mg,3g
349,663751,Traditional Baked Mooncake,91mg,16g
350,663849,Tropical Citrus Granita,55mg,10g
351,663858,Tropical Ice Pops,29mg,14g
352,664169,Twice Cooked Ox Tongue,14mg,1g
353,664575,Vegetable Paneer Skewers Or Paneer Tikka,19mg,3g
354,664912,Waldorf Salad With Fresh Goat Cheese,2mg,7g
355,665185,White Chocolate Mocha Cookies,41mg,4g
356,665247,White Veal Stock (Fond Blanc De Veau),38mg,4g
357,665302,Wholemeal Cranberry With Multi-Grain Loaf,40mg,9g
358,665307,Wholesome Spelt Waffles,75mg,1g
359,665527,Yellow Squash Noodles with Tomato Basil Sauce,85mg,11g
360,665537,Yoghurt Honey Madeleines,42mg,5g
361,665719,Zucchini Buckwheat Pancakes,37mg,1g
362,715574,Homemade Strawberry Shake,79mg,18g
363,792072,Dressed Up Kale Salad,20mg,4g
364,1095687,Roasted Figs and Cherries Dessert,1mg,15g
365,1095767,Vegan Sunflower Seed Pesto,6mg,0g
366,1095839,Pernik - Czech Spice Cake,91mg,19g
367,1096312,Chocolate PB & J Cups,15mg,8g
368,1157763,New Years Eve Countdown Cookies,63mg,6g
369,1697397,Avocado chocolate truffles,68mg,3g
370,1697539,Peach Mango Turnovers,85mg,6g
371,1697563,My Best Lemon Meringue Pie,8mg,1g
372,1697613,Apple Cider Muffins with Cinnamon Streusel,28mg,1g
373,1697637,Fresh Fruit Tart,3mg,1g
374,1697643,Best Homemade Cole Slaw,76mg,4g
375,1697651,Caesar Dressing,33mg,0g
376,157110,Raw Vegan Chocolate Nut Bars,7mg,10g
377,157994,Oreo Balls,86mg,11g
378,631830,10 Minute Brownies,2mg,14g
379,632148,Almond Lime Squares,71mg,1g
380,632155,Almond Nut Butter,1mg,2g
381,633111,Aval Kadala Burfi,4mg,5g
382,635215,Blackberry Honey Cocktail,3mg,20g
383,635243,Blackberry Smash Pink Lemonade Pops,4mg,15g
384,635310,Blood Orange Cocktail,4mg,5g
385,635807,Braised Carrots,33mg,6g
386,636315,Brown Sugar Sponge Cookie with Chocolate Covered Caramels,20mg,2g
387,636328,Brownie Coffins,41mg,24g
388,636898,Cannellini Bean Dip,4mg,0g
389,637194,Carrot Cucumber Salad (Asian Style),65mg,4g
390,637482,Chavrie Stuffed Grape Leaves,6mg,3g
391,638190,Chicken Medallions And Fruit Salad,39mg,2g
392,638800,Chocolate & Strawberry Thumbprint Cookies,58mg,16g
393,639361,Christmas Fruit Cake,58mg,11g
394,639593,Classic Daiquiri Cocktail,10mg,11g
395,639728,Coconut Bliss Smoothie,15mg,17g
396,639798,Coconut Peanut Macaroons,78mg,12g
397,639833,Coconut Toffee Macaroons,61mg,16g
398,639865,Coffee Cookies,3mg,3g
399,639954,Colorful Wild Rice Salad,21mg,13g
400,640366,Cranberry Crumb Bars,95mg,6g
401,640389,Cranberry Orange Banana Bread,73mg,9g
402,640708,Creamy Squash Orzo,17mg,2g
403,641314,Decadent Homemade Oreos,89mg,22g
404,641603,Double Decadence Dark Chocolate Ice Cream,53mg,17g
405,641732,Dulce De Leche Swirled Amaretto Frozen Yogurt,3mg,0g
406,643010,Five Spice Chai Latte,66mg,10g
407,643119,Flourless Apple Macadamia Cookies,35mg,5g
408,643455,"Fresh Cherry Tomato Salad With Red Onions, Avocado and Pimentón",56mg,3g
409,643462,Fresh Corn Salsa,20mg,2g
410,643901,Frozen Chocolate-Dipped Peanut Butter Banana Bites,19mg,17g
411,643931,frozen yogurt shortbread bars + coconut + chocolate,19mg,18g
412,643945,"Fruit and Spinach Salad with ""Xocai Activ"" Vinaigrette",37mg,5g
413,644393,Garlicky Mussels With Curry Cream,41mg,0g
414,644782,Gluten And Dairy Free Peanut Butter Cups,39mg,10g
415,645572,Griet's vegetable soup,98mg,7g
416,646877,Home made organic maple granola with fresh fruit,77mg,21g
417,647086,Homemade Pumpkin Butter,6mg,16g
418,648303,Itty Bitty Burgers,98mg,0g
419,648452,Japalac Cocktail,1mg,1g
420,648729,Kale With Red Onion,7mg,0g
421,649328,Lavender Tea With Lemon French Macarons,11mg,9g
422,649411,Lebanese Tabouleh,57mg,2g
423,649567,Lemon Coconut Granola,7mg,12g
424,649755,Lemon Quick Bread,88mg,23g
425,650703,Mama's Challah,47mg,4g
426,651256,Matcha Power Latte,34mg,5g
427,651893,Million Dollar Caramel Cookies,86mg,16g
428,651975,Mini Spiced Apple Tarts with Chocolate,65mg,13g
429,652861,My Favourite Ricotta Sandwich,1mg,0g
430,653005,Neiman Marcus Oatmeal Chocolate Chip Cookies,78mg,12g
431,654008,"Orecchiette with Brown Butter, Broccoli, Pine Nuts, and Basil",89mg,5g
432,654124,Osmanthus Tea Mousse,96mg,14g
433,654313,Pachai Payaru Kulambu (Green Moong Dal Curry),77mg,6g
434,655392,Pear and Apple Crumble,3mg,20g
435,657249,Pumpkin Banana Protein Oat Bars,67mg,7g
436,657972,Raw Chocolate Energy Bars,29mg,17g
437,658129,"Red, White, and Blue Fruit Salsa",34mg,11g
438,658778,"Rose Petal, Milk and Honey Agar Agar",27mg,19g
439,659563,Scarlet Poached Pears,18mg,23g
440,660932,Spiced Apple Cider,9mg,19g
441,662231,"Summer Kale, Orange & Pomegranate Salad with Moscato Dressing",25mg,7g
442,662632,Sweet Summer Salad,61mg,8g
443,662871,Tapioca Pudding with Pineapple and Coconut,49mg,16g
444,663462,Toasted Marshmallow Ice Cream,90mg,22g
445,664110,Turmeric Ginger Beer,10mg,19g
446,664396,Vegan Beet Borscht,60mg,3g
447,664452,Vegan Mango Chia seed Mango Coconut Ice Pops,7mg,24g
448,664792,Venison with Saskatoon Berry Sauce,53mg,4g
449,665040,"Watermelon, Kiwi, Apple and Frozen Banana Smoothie",3mg,13g
450,665185,White Chocolate Mocha Cookies,41mg,4g
451,665306,Wholemeal Steam Bun,75mg,1g
452,665307,Wholesome Spelt Waffles,75mg,1g
453,665463,Xocai Healthy Chocolate Ice Cream,19mg,20g
454,665483,Xocai Nugget Pudding,53mg,7g
455,665781,Zucchini Rice,52mg,2g
456,700339,Cinnamon Vanilla Hot Chocolate,40mg,8g
457,716433,Easiest Breakfast Ever: Sunny Fruit Parfait,10mg,7g
458,792072,Dressed Up Kale Salad,20mg,4g
459,1082038,Big Batch Smoothie Bowl,15mg,24g
460,1095712,No-Bake Cookies with Coconut Oil,27mg,6g
461,1096274,Very Vanilla Egg-Free Ice Cream,36mg,14g
462,1157763,New Years Eve Countdown Cookies,63mg,6g
463,1499853,Cake Mix Donuts,61mg,24g
464,1697541,Pasta With Feta Cheese And Asparagus,8mg,0g
465,1697579,Rigatoni al Forno,9mg,1g
466,1697589,Hummingbird Carrot Cake,33mg,9g
467,1697593,Buffalo Chicken Thighs,73mg,0g
468,1697601,Linguine with Clams - Linguine alle Vongole,8mg,0g
469,1697617,Red-Wine Braised Short Ribs in a Dutch Oven,31mg,3g
470,1697649,Deliciously Simple Steamed Beet Salad,61mg,11g
471,1697669,The Best Banana Nut Bread,43mg,0g
472,157103,Apple Cinnamon Blondies,76mg,11g
473,157498,Pumpkin Whipped Cream,12mg,4g
474,621204,paneer butter masala,48mg,3g
475,627979,sweet pongal recipe,42mg,13g
476,631744,Flourless Lentil Chocolate Brownies,59mg,16g
477,632179,Almond Sandwich Cookies,6mg,4g
478,632280,Amaretto Almond Cookies,12mg,3g
479,632445,Apothic Granita and Vanilla Panna Cotta,73mg,19g
480,632622,Apple- Pomegranate Crisp,56mg,25g
