,0
631,641185
632,649381
633,665767
634,665769
635,641197
636,649390
637,641199
638,633008
639,665777
640,641201
641,641202
642,665781
643,993462
644,641208
645,649405
646,657598
647,649407
648,649411
649,649413
650,641223
651,649426
652,641238
653,649430
654,649431
655,665824
656,649441
657,633059
658,649454
659,633080
660,633086
661,633091
662,649476
663,633093
664,633096
665,633097
666,157962
667,157963
668,649483
669,649487
670,657679
671,657686
672,649496
673,657689
674,633117
675,649502
676,649504
677,633120
678,641314
679,649507
680,649508
681,633126
682,649514
683,657710
684,633157
685,633160
686,633165
687,633171
688,649560
689,641375
690,641382
691,633202
692,657786
693,633212
694,633224
695,641421
696,641422
697,649615
698,657818
699,641435
700,649638
701,633255
702,633263
703,641461
704,649654
705,657850
706,641472
707,649673
708,649679
709,657875
710,633302
711,1165783
712,1165787
713,674272
714,657899
715,649708
716,633330
717,657907
718,649718
719,633337
720,649722
721,657916
722,657917
723,633344
724,649730
725,633348
726,657939
727,649748
728,649751
729,641565
730,657956
731,649768
732,633393
733,657972
734,649785
735,657981
736,641598
737,649794
738,658004
739,649813
740,617047
741,658019
742,633452
743,641649
744,641653
745,715383
746,715397
747,641671
748,633485
749,641679
750,715411
751,658068
752,641687
753,633496
754,649882
755,715419
756,715421
757,715422
758,641693
759,715424
760,68254
761,641700
762,715432
763,658091
764,715438
765,633521
766,633523
767,633524
768,641717
769,715449
770,715454
771,715455
772,641726
773,715456
774,641730
775,633537
776,633541
777,641734
778,633547
779,649931
780,649933
781,658125
782,649936
783,649937
784,649940
785,658134
786,633559
787,715480
788,649946
789,633566
790,715491
791,658151
792,715495
793,658152
794,633576
795,641767
796,649967
797,658160
798,633587
799,641781
800,633594
801,633595
802,715517
803,649985
804,715522
805,1035015
806,641799
807,715532
808,715533
809,641808
810,658193
811,715538
812,641811
813,715540
814,715537
815,650009
816,715545
817,715552
818,633638
819,715559
820,650023
821,715560
822,715569
823,633650
824,641845
825,715574
826,658232
827,650043
828,633660
829,633661
830,650050
831,715595
832,633677
833,715602
834,658269
835,641890
836,658276
837,658277
838,469862
839,715623
840,633704
841,641897
842,715631
843,641903
844,633711
845,641904
846,658287
847,641908
848,715638
849,658295
850,633721
851,633733
852,650122
853,633744
854,641943
855,633751
856,633752
857,650139
858,633756
859,650147
860,641978
861,650180
862,633825
863,633830
864,633831
865,633833
866,642026
867,633837
868,658414
869,650225
870,715769
871,650235
872,650239
873,633858
874,642058
875,650255
876,1674265
877,642085
878,642096
879,658486
880,642111
881,633921
882,642113
883,658503
884,658504
885,633932
886,756814
887,756816
888,658513
889,756817
890,650325
891,642138
892,732255
893,658529
894,658531
895,658535
896,658536
897,633959
898,650349
899,633970
900,633975
901,658573
902,633998
903,634003
904,634006
905,658583
906,658585
907,634010
908,650397
909,634021
910,658598
911,634026
912,650431
913,634047
914,634054
915,642246
916,658632
917,658631
918,634059
919,658638
920,642256
921,642264
922,642272
923,658657
924,658661
925,658674
926,650485
927,650487
928,642297
929,650493
930,642303
931,650498
932,634120
933,658700
934,658701
935,658703
936,658706
937,642325
938,642332
939,1019172
940,642347
941,650546
942,1502523
943,634174
944,642372
945,634180
946,642373
947,634183
948,634198
949,634202
950,642395
951,634204
952,634206
953,650593
954,724324
955,634212
956,642406
957,642413
958,650620
959,658813
960,1518975
961,658823
962,650646
963,642456
964,650650
965,650651
966,650654
967,634273
968,658850
969,716195
970,642471
971,658855
972,716202
973,650677
974,642489
975,634300
976,642499
977,716231
978,650700
979,634318
980,634320
981,716245
982,716252
983,658914
984,634342
985,634345
986,716269
987,642546
988,716276
989,642548
990,642551
991,658936
992,716279
993,642554
994,642559
995,634368
996,650751
997,658947
998,716293
999,716296
1000,716297
1001,716311
1002,642585
1003,642596
1004,634404
1005,642601
1006,716330
1007,642602
1008,658987
1009,642605
1010,642606
1011,716334
1012,634421
1013,716342
1014,634426
1015,642619
1016,716347
1017,650812
1018,634429
1019,650815
1020,634434
1021,634437
1022,716361
1023,634441
1024,659021
1025,642638
1026,642640
1027,716369
1028,642648
1029,634458
1030,716381
1031,659038
1032,642660
1033,634475
1034,659056
1035,642673
1036,634481
1037,716402
1038,642676
1039,659060
1040,642678
1041,716407
1042,716408
1043,642681
1044,716410
1045,716411
1046,716412
1047,650878
1048,716414
1049,716417
1050,650883
1051,642695
1052,716423
1053,716425
1054,659083
1055,716430
1056,716433
1057,1044114
1058,716437
1059,659109
1060,634537
1061,634548
1062,650937
1063,650939
1064,634556
1065,659138
1066,1003210
1067,511692
1068,634573
1069,650959
1070,511697
1071,634579
1072,650965
1073,634582
1074,642780
1075,659180
1076,634605
1077,511728
1078,642809
1079,511748
1080,642821
1081,642834
1082,642835
1083,487193
1084,651034
1085,765725
1086,634660
1087,659237
1088,511785
1089,659248
1090,634673
1091,642878
1092,651076
