,Spoonacular Recipe ID,Recipe,Recipe Sodium,Recipe Sugar
126,632118,Almond Cranberry Cookies,41mg,1g
127,632118,Almond Cranberry Cookies,41mg,1g
128,632118,Almond Cranberry Cookies,41mg,1g
129,632118,Almond Cranberry Cookies,41mg,1g
130,632118,Almond Cranberry Cookies,41mg,1g
131,632118,Almond Cranberry Cookies,41mg,1g
132,632118,Almond Cranberry Cookies,41mg,1g
133,632118,Almond Cranberry Cookies,41mg,1g
134,632118,Almond Cranberry Cookies,41mg,1g
135,632118,Almond Cranberry Cookies,41mg,1g
136,632118,Almond Cranberry Cookies,41mg,1g
137,632118,Almond Cranberry Cookies,41mg,1g
138,632118,Almond Cranberry Cookies,41mg,1g
139,632118,Almond Cranberry Cookies,41mg,1g
140,632118,Almond Cranberry Cookies,41mg,1g
141,632118,Almond Cranberry Cookies,41mg,1g
142,632118,Almond Cranberry Cookies,41mg,1g
143,632118,Almond Cranberry Cookies,41mg,1g
144,632118,Almond Cranberry Cookies,41mg,1g
145,632118,Almond Cranberry Cookies,41mg,1g
146,632118,Almond Cranberry Cookies,41mg,1g
147,632118,Almond Cranberry Cookies,41mg,1g
148,632118,Almond Cranberry Cookies,41mg,1g
149,632118,Almond Cranberry Cookies,41mg,1g
150,632118,Almond Cranberry Cookies,41mg,1g
151,632118,Almond Cranberry Cookies,41mg,1g
152,632118,Almond Cranberry Cookies,41mg,1g
153,632118,Almond Cranberry Cookies,41mg,1g
154,632118,Almond Cranberry Cookies,41mg,1g
155,632118,Almond Cranberry Cookies,41mg,1g
156,632118,Almond Cranberry Cookies,41mg,1g
157,632118,Almond Cranberry Cookies,41mg,1g
158,632118,Almond Cranberry Cookies,41mg,1g
159,632118,Almond Cranberry Cookies,41mg,1g
160,632118,Almond Cranberry Cookies,41mg,1g
161,632118,Almond Cranberry Cookies,41mg,1g
162,632118,Almond Cranberry Cookies,41mg,1g
163,632118,Almond Cranberry Cookies,41mg,1g
164,632118,Almond Cranberry Cookies,41mg,1g
165,632118,Almond Cranberry Cookies,41mg,1g
166,632118,Almond Cranberry Cookies,41mg,1g
167,632118,Almond Cranberry Cookies,41mg,1g
168,632118,Almond Cranberry Cookies,41mg,1g
169,632118,Almond Cranberry Cookies,41mg,1g
170,632118,Almond Cranberry Cookies,41mg,1g
171,632118,Almond Cranberry Cookies,41mg,1g
172,632118,Almond Cranberry Cookies,41mg,1g
173,632118,Almond Cranberry Cookies,41mg,1g
174,632118,Almond Cranberry Cookies,41mg,1g
175,632118,Almond Cranberry Cookies,41mg,1g
176,632118,Almond Cranberry Cookies,41mg,1g
177,632118,Almond Cranberry Cookies,41mg,1g
178,632118,Almond Cranberry Cookies,41mg,1g
179,632118,Almond Cranberry Cookies,41mg,1g
180,632118,Almond Cranberry Cookies,41mg,1g
181,632118,Almond Cranberry Cookies,41mg,1g
182,632118,Almond Cranberry Cookies,41mg,1g
183,632118,Almond Cranberry Cookies,41mg,1g
184,632118,Almond Cranberry Cookies,41mg,1g
185,632118,Almond Cranberry Cookies,41mg,1g
186,632118,Almond Cranberry Cookies,41mg,1g
187,632118,Almond Cranberry Cookies,41mg,1g
188,632118,Almond Cranberry Cookies,41mg,1g
189,632118,Almond Cranberry Cookies,41mg,1g
190,632118,Almond Cranberry Cookies,41mg,1g
191,632118,Almond Cranberry Cookies,41mg,1g
192,632118,Almond Cranberry Cookies,41mg,1g
193,632118,Almond Cranberry Cookies,41mg,1g
194,632118,Almond Cranberry Cookies,41mg,1g
195,632118,Almond Cranberry Cookies,41mg,1g
196,632118,Almond Cranberry Cookies,41mg,1g
197,632118,Almond Cranberry Cookies,41mg,1g
198,632118,Almond Cranberry Cookies,41mg,1g
199,632118,Almond Cranberry Cookies,41mg,1g
200,632118,Almond Cranberry Cookies,41mg,1g
201,632118,Almond Cranberry Cookies,41mg,1g
202,632118,Almond Cranberry Cookies,41mg,1g
203,632118,Almond Cranberry Cookies,41mg,1g
204,632118,Almond Cranberry Cookies,41mg,1g
205,632118,Almond Cranberry Cookies,41mg,1g
206,632118,Almond Cranberry Cookies,41mg,1g
207,632118,Almond Cranberry Cookies,41mg,1g
208,632118,Almond Cranberry Cookies,41mg,1g
209,632118,Almond Cranberry Cookies,41mg,1g
210,632118,Almond Cranberry Cookies,41mg,1g
211,632118,Almond Cranberry Cookies,41mg,1g
212,632118,Almond Cranberry Cookies,41mg,1g
213,632118,Almond Cranberry Cookies,41mg,1g
214,632118,Almond Cranberry Cookies,41mg,1g
215,632118,Almond Cranberry Cookies,41mg,1g
216,632118,Almond Cranberry Cookies,41mg,1g
217,632118,Almond Cranberry Cookies,41mg,1g
