"Food code","Main food description","WWEIA Category description","Recipe"
"27343520","Chicken or turkey, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce","Poultry mixed dishes","Chicken  NS as to part  rotisserie  skin not eaten, Tomato products  canned  sauce, Noodles  egg  enriched  cooked, Corn  sweet  yellow  frozen  kernels cut off cob  boiled  drained  without salt, Beans  snap  green  frozen  cooked  boiled  drained without salt, Vegetable oil  NFS, Salt  table  iodized"
"27343950","Chicken or turkey, noodles, and vegetables including carrots, broccoli, and/or dark-green leafy; cheese sauce","Poultry mixed dishes","Chicken  NS as to part  rotisserie  skin not eaten, Cheese sauce  prepared from recipe, Noodles  egg  enriched  cooked, Carrots  frozen  cooked  boiled  drained  without salt, Broccoli  frozen  chopped  cooked  boiled  drained  without salt, Salt  table  iodized"
"32130670","Egg omelet or scrambled egg, with cheese, tomatoes, and dark-green vegetables, no added fat","Eggs and omelets","Egg  whole  raw  fresh, Salt  table  iodized, Cheese as ingredient in sandwiches, Tomatoes as ingredient in omelet, Dark green vegetables as ingredient in omelet"
"27343960","Chicken or turkey, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; cheese sauce","Poultry mixed dishes","Chicken  NS as to part  rotisserie  skin not eaten, Cheese sauce  prepared from recipe, Noodles  egg  enriched  cooked, Corn  sweet  yellow  frozen  kernels cut off cob  boiled  drained  without salt, Beans  snap  green  frozen  cooked  boiled  drained without salt, Salt  table  iodized"
"27345010","Chicken or turkey, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce","Poultry mixed dishes","Chicken  NS as to part  rotisserie  skin not eaten, Vegetable oil  NFS, Rice  white  long-grain  regular  enriched  cooked, Carrots  frozen  cooked  boiled  drained  without salt, Broccoli  frozen  chopped  cooked  boiled  drained  without salt, Salt  table  iodized"
"27345020","Chicken or turkey, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; no sauce","Poultry mixed dishes","Chicken  NS as to part  rotisserie  skin not eaten, Vegetable oil  NFS, Rice  white  long-grain  regular  enriched  cooked, Corn  sweet  yellow  frozen  kernels cut off cob  boiled  drained  without salt, Beans  snap  green  frozen  cooked  boiled  drained without salt, Salt  table  iodized"
"27345210","Chicken or turkey, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy","Poultry mixed dishes","Chicken  NS as to part  rotisserie  skin not eaten, Gravy  chicken  canned or bottled  ready-to-serve, Rice  white  long-grain  regular  enriched  cooked, Carrots  frozen  cooked  boiled  drained  without salt, Broccoli  frozen  chopped  cooked  boiled  drained  without salt, Vegetable oil  NFS, Salt  table  iodized"
"27345220","Chicken or turkey, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy","Poultry mixed dishes","Chicken  NS as to part  rotisserie  skin not eaten, Gravy  chicken  canned or bottled  ready-to-serve, Rice  white  long-grain  regular  enriched  cooked, Corn  sweet  yellow  frozen  kernels cut off cob  boiled  drained  without salt, Beans  snap  green  frozen  cooked  boiled  drained without salt, Vegetable oil  NFS, Salt  table  iodized"
"27345310","Chicken or turkey, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; soy-based sauce","Stir-fry and soy-based sauce mixtures","Chicken  NS as to part  rotisserie  skin not eaten, Vegetable oil  NFS, Garlic  raw, Ginger root  raw, Onions  cooked  boiled  drained  without salt, Onions  spring or scallions (includes tops and bulb)  raw, Soy sauce made from soy and wheat (shoyu), Soup  chicken broth  ready-to-serve, Rice  white  long-grain  regular  enriched  cooked, Carrots  cooked  boiled  drained  without salt, Broccoli  cooked  as ingredient"
"27345320","Chicken or turkey, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; soy-based sauce","Stir-fry and soy-based sauce mixtures","Chicken  NS as to part  rotisserie  skin not eaten, Vegetable oil  NFS, Garlic  raw, Ginger root  raw, Onions  cooked  boiled  drained  without salt, Onions  spring or scallions (includes tops and bulb)  raw, Soy sauce made from soy and wheat (shoyu), Soup  chicken broth  ready-to-serve, Rice  white  long-grain  regular  enriched  cooked, Peppers  sweet  green  cooked  boiled  drained  without salt, Green beans  cooked  as ingredient, Mushrooms  white  cooked  boiled  drained  without salt"
"27345410","Chicken or turkey, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; cream sauce, white sauce, or mushroom sauce","Poultry mixed dishes","Rice  white  long-grain  regular  enriched  cooked, Broccoli  frozen  chopped  cooked  boiled  drained  without salt, Chicken  NS as to part  rotisserie  skin not eaten, Soup  cream of mushroom  canned  condensed, Milk  NFS, Carrots  frozen  cooked  boiled  drained  without salt, Vegetable oil  NFS, Salt  table  iodized"
"27345420","Chicken or turkey, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; cream sauce, white sauce, or mushroom sauce","Poultry mixed dishes","Chicken  NS as to part  rotisserie  skin not eaten, Soup  cream of mushroom  canned  condensed, Milk  NFS, Rice  white  long-grain  regular  enriched  cooked, Corn  sweet  yellow  frozen  kernels cut off cob  boiled  drained  without salt, Beans  snap  green  frozen  cooked  boiled  drained without salt, Vegetable oil  NFS, Salt  table  iodized"
"27345440","Chicken or turkey, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; cheese sauce","Poultry mixed dishes","Chicken  NS as to part  rotisserie  skin not eaten, Cheese sauce  prepared from recipe, Rice  white  long-grain  regular  enriched  cooked, Carrots  frozen  cooked  boiled  drained  without salt, Broccoli  frozen  chopped  cooked  boiled  drained  without salt, Salt  table  iodized"
"27345450","Chicken or turkey, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; cheese sauce","Poultry mixed dishes","Chicken  NS as to part  rotisserie  skin not eaten, Cheese sauce  prepared from recipe, Rice  white  long-grain  regular  enriched  cooked, Corn  sweet  yellow  frozen  kernels cut off cob  boiled  drained  without salt, Beans  snap  green  frozen  cooked  boiled  drained without salt, Salt  table  iodized"
"27345510","Chicken or turkey, rice, and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce","Poultry mixed dishes","Chicken  NS as to part  rotisserie  skin not eaten, Tomato products  canned  sauce, Rice  white  long-grain  regular  enriched  cooked, Carrots  frozen  cooked  boiled  drained  without salt, Broccoli  frozen  chopped  cooked  boiled  drained  without salt, Vegetable oil  NFS, Salt  table  iodized"
"27345520","Chicken or turkey, rice, and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce","Poultry mixed dishes","Chicken  NS as to part  rotisserie  skin not eaten, Tomato products  canned  sauce, Rice  white  long-grain  regular  enriched  cooked, Corn  sweet  yellow  frozen  kernels cut off cob  boiled  drained  without salt, Beans  snap  green  frozen  cooked  boiled  drained without salt, Vegetable oil  NFS, Salt  table  iodized"
"27347200","Chicken or turkey, stuffing, and vegetables including carrots, broccoli, and/or dark-green leafy; no sauce","Poultry mixed dishes","Chicken  NS as to part  rotisserie  skin not eaten, Bread  stuffing  dry mix  prepared, Carrots  frozen  cooked  boiled  drained  without salt, Broccoli  frozen  chopped  cooked  boiled  drained  without salt"
"27347210","Chicken or turkey,stuffing, and vegetables excluding carrots, broccoli, and dark green leafy; no sauce","Poultry mixed dishes","Chicken  NS as to part  rotisserie  skin not eaten, Bread  stuffing  dry mix  prepared, Corn  sweet  yellow  frozen  kernels cut off cob  boiled  drained  without salt, Beans  snap  green  frozen  cooked  boiled  drained without salt"
"27347220","Chicken or turkey, stuffing, and vegetables including carrots, broccoli, and/or dark-green leafy; gravy","Poultry mixed dishes","Chicken  NS as to part  rotisserie  skin not eaten, Bread  stuffing  dry mix  prepared, Carrots  frozen  cooked  boiled  drained  without salt, Broccoli  frozen  chopped  cooked  boiled  drained  without salt, Gravy  chicken  canned or bottled  ready-to-serve"
"32130700","Egg omelet or scrambled egg, with cheese and vegetables other than dark green and/or tomatoes, no added fat","Eggs and omelets","Egg  whole  raw  fresh, Salt  table  iodized, Cheese as ingredient in sandwiches, Other vegetables as ingredient in omelet"
"27347230","Chicken or turkey, stuffing, and vegetables excluding carrots, broccoli, and dark-green leafy; gravy","Poultry mixed dishes","Chicken  NS as to part  rotisserie  skin not eaten, Bread  stuffing  dry mix  prepared, Corn  sweet  yellow  frozen  kernels cut off cob  boiled  drained  without salt, Beans  snap  green  frozen  cooked  boiled  drained without salt, Gravy  chicken  canned or bottled  ready-to-serve"
"27347240","Chicken or turkey, dumplings, and vegetables including carrots, broccoli, and/or dark green leafy; gravy","Poultry mixed dishes","Chicken  NS as to part  rotisserie  skin not eaten, Dumpling  plain, Carrots  frozen  cooked  boiled  drained  without salt, Broccoli  frozen  chopped  cooked  boiled  drained  without salt, Gravy  chicken  canned or bottled  ready-to-serve, Vegetable oil  NFS"
"27347250","Chicken or turkey, dumplings, and vegetables excluding carrots, broccoli, and dark green leafy; gravy","Poultry mixed dishes","Chicken  NS as to part  rotisserie  skin not eaten, Dumpling  plain, Gravy  chicken  canned or bottled  ready-to-serve, Corn  sweet  yellow  frozen  kernels cut off cob  boiled  drained  without salt, Beans  snap  green  frozen  cooked  boiled  drained without salt, Vegetable oil  NFS"
"27350030","Seafood stew with potatoes and vegetables excluding carrots, broccoli, and dark-green leafy; tomato-based sauce","Seafood mixed dishes","Mollusks  clam  mixed species  raw, Pork  cured  bacon  pre-sliced  cooked  pan-fried, Onions  raw, Peppers  sweet  green  raw, Celery  raw, Beverages  water  tap  drinking, Potatoes  flesh and skin  raw, Tomato juice  canned  with salt added, Salt  table  iodized, Fish  perch  mixed species  raw, Crustaceans  shrimp  mixed species  cooked  moist heat (may contain additives to retain moisture), Margarine  stick"
"27350080","Tuna noodle casserole with vegetables, cream or white sauce","Seafood mixed dishes","Fish  tuna  light  canned in water  drained solids, White sauce or gravy, Noodles  egg  enriched  cooked, Bread  crumbs  dry  grated  plain, Butter  salted, Mushrooms  cooked  as ingredient, Green pepper  cooked  as ingredient, Onions  cooked  as ingredient"
"27350090","Fish, noodles, and vegetables including carrots, broccoli, and/or dark green leafy; cheese sauce","Seafood mixed dishes","Fish  cod  Atlantic  cooked  dry heat, Cheese sauce  prepared from recipe, Noodles  egg  enriched  cooked, Carrots  frozen  cooked  boiled  drained  without salt, Broccoli  frozen  chopped  cooked  boiled  drained  without salt, Salt  table  iodized"
"27350100","Fish, noodles, and vegetables excluding carrots, broccoli, and dark-green leafy; cheese sauce","Seafood mixed dishes","Fish  cod  Atlantic  cooked  dry heat, Cheese sauce  prepared from recipe, Noodles  egg  enriched  cooked, Corn  sweet  yellow  frozen  kernels cut off cob  boiled  drained  without salt, Beans  snap  green  frozen  cooked  boiled  drained without salt, Salt  table  iodized"
"27350310","Seafood stew with potatoes and vegetables including carrots, broccoli, and/or dark-green leafy; tomato-based sauce","Seafood mixed dishes","Mollusks  clam  mixed species  raw, Pork  cured  bacon  pre-sliced  cooked  pan-fried, Onions  raw, Carrots  raw, Celery  raw, Beverages  water  tap  drinking, Potatoes  flesh and skin  raw, Tomato juice  canned  with salt added, Salt  table  iodized, Fish  perch  mixed species  raw, Crustaceans  shrimp  mixed species  cooked  moist heat (may contain additives to retain moisture)"
"27350410","Tuna noodle casserole with vegetables and mushroom sauce","Seafood mixed dishes","Fish  tuna  light  canned in water  drained solids, Soup  cream of mushroom  canned  condensed, Milk  NFS, Noodles  egg  enriched  cooked, Bread  crumbs  dry  grated  plain, Butter  salted, Mushrooms  white  cooked  boiled  drained  without salt, Peppers  sweet  green  cooked  boiled  drained  without salt, Onions  cooked  boiled  drained  without salt"
"27351010","Codfish with starchy vegetables, Puerto Rican style","Seafood mixed dishes","Fish  cod  Atlantic  canned  solids and liquid, Onions  raw, Oil  olive  salad or cooking, Vinegar  cider, Tomatoes  red  ripe  raw  year round average, Olives  stuffed, Taro  raw, Plantains  yellow  raw, Sweet potato  raw  unprepared (Includes foods for USDA's Food Distribution Program)"
"27410210","Beef and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, no sauce","Meat mixed dishes","Beef  round  top round steak  separable lean and fat  trimmed to 1/8"" fat  all grades  cooked  broiled, Vegetable oil  NFS, Carrots  frozen  cooked  boiled  drained  without salt, Broccoli  frozen  chopped  cooked  boiled  drained  without salt, Salt  table  iodized, Beverages  water  tap  drinking"
"27410220","Beef and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, no sauce","Meat mixed dishes","Beef  round  top round steak  separable lean and fat  trimmed to 1/8"" fat  all grades  cooked  broiled, Vegetable oil  NFS, Corn  sweet  yellow  frozen  kernels cut off cob  boiled  drained  without salt, Beans  snap  green  frozen  cooked  boiled  drained without salt, Beverages  water  tap  drinking, Salt  table  iodized"
"27410250","Beef shish kabob with vegetables, excluding potatoes","Meat mixed dishes","Vegetable oil  NFS, Lime juice  raw, Soy sauce made from soy and wheat (shoyu), Salt  table  iodized, Parsley  fresh, Coriander (cilantro) leaves  raw, Garlic  raw, Onions  cooked  boiled  drained  without salt, Pepper  raw  NFS, Mushrooms  white  cooked  boiled  drained  without salt, Beef  round  top round steak  separable lean and fat  trimmed to 1/8"" fat  all grades  cooked  broiled"
"27411100","Beef with vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, tomato-based sauce","Meat mixed dishes","Beef  round  top round steak  separable lean and fat  trimmed to 1/8"" fat  all grades  cooked  broiled, Tomato products  canned  sauce, Carrots  frozen  cooked  boiled  drained  without salt, Broccoli  frozen  chopped  cooked  boiled  drained  without salt, Vegetable oil  NFS, Salt  table  iodized"
"27411150","Beef rolls, stuffed with vegetables or meat mixture, tomato-based sauce","Meat mixed dishes","Beef  round  full cut  separable lean and fat  trimmed to 1/8"" fat  choice  cooked  broiled, Carrots  cooked  as ingredient, Celery  raw, Tomato products  canned  paste  without salt added (Includes foods for USDA's Food Distribution Program), Pork  cured  ham -- water added  whole  boneless  separable lean only  heated  roasted, Wheat flour  white  all-purpose  enriched  bleached, Salt  table  iodized"
"27411200","Beef with vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, tomato-based sauce","Meat mixed dishes","Beef  round  top round steak  separable lean and fat  trimmed to 1/8"" fat  all grades  cooked  broiled, Tomato products  canned  sauce, Corn  sweet  yellow  frozen  kernels cut off cob  boiled  drained  without salt, Beans  snap  green  frozen  cooked  boiled  drained without salt, Vegetable oil  NFS, Salt  table  iodized, Beverages  water  tap  drinking"
"27414100","Beef with vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, mushroom sauce","Meat mixed dishes","Beef  round  top round steak  separable lean and fat  trimmed to 1/8"" fat  all grades  cooked  broiled, Soup  cream of mushroom  canned  condensed, Milk  NFS, Carrots  frozen  cooked  boiled  drained  without salt, Broccoli  frozen  chopped  cooked  boiled  drained  without salt, Vegetable oil  NFS"
"27414200","Beef with vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, mushroom sauce","Meat mixed dishes","Beef  round  top round steak  separable lean and fat  trimmed to 1/8"" fat  all grades  cooked  broiled, Soup  cream of mushroom  canned  condensed, Milk  NFS, Corn  sweet  yellow  frozen  kernels cut off cob  boiled  drained  without salt, Beans  snap  green  frozen  cooked  boiled  drained without salt, Vegetable oil  NFS, Salt  table  iodized"
"27415100","Beef and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, soy-based sauce","Stir-fry and soy-based sauce mixtures","Beef  round  top round steak  separable lean and fat  trimmed to 1/8"" fat  all grades  cooked  broiled, Vegetable oil  NFS, Garlic  raw, Ginger root  raw, Onions  cooked  boiled  drained  without salt, Onions  spring or scallions (includes tops and bulb)  raw, Soy sauce made from soy and wheat (shoyu), Soup  beef broth or bouillon canned  ready-to-serve, Carrots  cooked  boiled  drained  without salt, Broccoli  cooked  as ingredient"
"27415120","Beef, tofu, and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, soy-based sauce","Stir-fry and soy-based sauce mixtures","Beef  round  top round steak  separable lean and fat  trimmed to 1/8"" fat  all grades  cooked  broiled, Tofu  soft  prepared with calcium sulfate and magnesium chloride (nigari), Vegetable oil  NFS, Garlic  raw, Ginger root  raw, Onions  cooked  boiled  drained  without salt, Onions  spring or scallions (includes tops and bulb)  raw, Soy sauce made from soy and wheat (shoyu), Soup  beef broth or bouillon canned  ready-to-serve, Carrots  cooked  boiled  drained  without salt, Broccoli  cooked  as ingredient"
"27415200","Beef and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, soy-based sauce","Stir-fry and soy-based sauce mixtures","Beef  round  top round steak  separable lean and fat  trimmed to 1/8"" fat  all grades  cooked  broiled, Vegetable oil  NFS, Garlic  raw, Ginger root  raw, Onions  cooked  boiled  drained  without salt, Onions  spring or scallions (includes tops and bulb)  raw, Soy sauce made from soy and wheat (shoyu), Soup  beef broth or bouillon canned  ready-to-serve, Peppers  sweet  green  cooked  boiled  drained  without salt, Green beans  cooked  as ingredient, Mushrooms  white  cooked  boiled  drained  without salt"
"27415220","Beef, tofu, and vegetables excluding carrots, broccoli,  and dark-green leafy; no potatoes, soy-based sauce","Stir-fry and soy-based sauce mixtures","Beef  round  top round steak  separable lean and fat  trimmed to 1/8"" fat  all grades  cooked  broiled, Tofu  soft  prepared with calcium sulfate and magnesium chloride (nigari), Vegetable oil  NFS, Garlic  raw, Ginger root  raw, Onions  cooked  boiled  drained  without salt, Onions  spring or scallions (includes tops and bulb)  raw, Soy sauce made from soy and wheat (shoyu), Soup  beef broth or bouillon canned  ready-to-serve, Peppers  sweet  green  cooked  boiled  drained  without salt, Green beans  cooked  as ingredient, Mushrooms  white  cooked  boiled  drained  without salt"
"27416100","Beef and vegetables, Hawaiian style","Meat mixed dishes","Beef  flank  steak  separable lean only  trimmed to 0"" fat  choice  raw, Seaweed  wakame  raw, Beverages  water  tap  drinking, Burdock root  raw, Carrots  raw, Bamboo shoots  canned  drained solids, Taro  raw, Soy sauce made from soy and wheat (shoyu), Sugars  granulated, Vegetable oil  NFS"
"27416400","Stir fried beef and vegetables in soy sauce","Stir-fry and soy-based sauce mixtures","Beef  top sirloin  steak  separable lean only  trimmed to 1/8"" fat  select  cooked  broiled, Onions  raw, Mushrooms  white  raw, Onions  spring or scallions (includes tops and bulb)  raw, Bamboo shoots  canned  drained solids, Egg  whole  raw  fresh, Mung beans  mature seeds  sprouted  raw, Soy sauce made from soy and wheat (shoyu), Sugars  granulated, Soup  beef broth or bouillon  powder  prepared with water, Fat  beef tallow"
"27416450","Beef and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, gravy","Meat mixed dishes","Beef  round  top round steak  separable lean and fat  trimmed to 1/8"" fat  all grades  cooked  broiled, Gravy  chicken  canned or bottled  ready-to-serve, Carrots  frozen  cooked  boiled  drained  without salt, Broccoli  frozen  chopped  cooked  boiled  drained  without salt, Vegetable oil  NFS, Salt  table  iodized"
"27416500","Beef and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, gravy","Meat mixed dishes","Beef  round  top round steak  separable lean and fat  trimmed to 1/8"" fat  all grades  cooked  broiled, Gravy  chicken  canned or bottled  ready-to-serve, Corn  sweet  yellow  frozen  kernels cut off cob  boiled  drained  without salt, Beans  snap  green  frozen  cooked  boiled  drained without salt, Vegetable oil  NFS, Salt  table  iodized"
"27418210","Beef stew with vegetables excluding potatoes, Puerto Rican style","Meat mixed dishes","Beef  round  full cut  separable lean and fat  trimmed to 1/8"" fat  choice  raw, Salt  table  iodized, Garlic  raw, Tomatoes  red  ripe  raw  year round average, Vegetable oil  NFS, Tomato products  canned  sauce, Peas  green (includes baby and lesuer types)  canned  drained solids  unprepared, Beverages  water  tap  drinking, Carrots  raw, Peppers  sweet  green  raw, Onions  raw"
"27420060","Pork and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, no sauce","Meat mixed dishes","Pork  fresh  loin  whole  separable lean only  cooked  roasted, Carrots  frozen  cooked  boiled  drained  without salt, Broccoli  frozen  chopped  cooked  boiled  drained  without salt, Beverages  water  tap  drinking, Vegetable oil  NFS, Salt  table  iodized"
"27420100","Pork, tofu, and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, soy-base sauce","Stir-fry and soy-based sauce mixtures","Pork  fresh  loin  whole  separable lean only  cooked  roasted, Vegetable oil  NFS, Soy sauce made from soy and wheat (shoyu), Carrots  cooked  boiled  drained  without salt, Onions  spring or scallions (includes tops and bulb)  raw, Onions  cooked  boiled  drained  without salt, Tofu  soft  prepared with calcium sulfate and magnesium chloride (nigari), Garlic  raw, Ginger root  raw, Soup  beef broth or bouillon canned  ready-to-serve, Broccoli  cooked  as ingredient"
"27420110","Pork and vegetables, Hawaiian style","Stir-fry and soy-based sauce mixtures","Oil  corn  industrial and retail  all purpose salad or cooking, Pork  fresh  loin  whole  separable lean only  cooked  roasted, Beverages  water  tap  drinking, Carrots  raw, Burdock root  raw, Bamboo shoots  canned  drained solids, Onions  raw, Mushrooms  shiitake  cooked  without salt, Onions  spring or scallions (includes tops and bulb)  raw, Salt  table  iodized"
"27420250","Ham and vegetables including carrots broccoli, and/or dark- green leafy; no potatoes, no sauce","Meat mixed dishes","Pork  cured  ham  boneless  regular (approximately 11% fat)  roasted, Vegetable oil  NFS, Carrots  frozen  cooked  boiled  drained  without salt, Broccoli  frozen  chopped  cooked  boiled  drained  without salt, Salt  table  iodized, Beverages  water  tap  drinking"
"32130680","Egg omelet or scrambled egg, with cheese, tomatoes, and dark-green vegetables, NS as to fat","Eggs and omelets","Egg  whole  raw  fresh, Salt  table  iodized, Oil or table fat  NFS, Cheese as ingredient in sandwiches, Tomatoes as ingredient in omelet, Dark green vegetables as ingredient in omelet"
"27420270","Ham and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, no sauce","Meat mixed dishes","Pork  cured  ham  boneless  regular (approximately 11% fat)  roasted, Vegetable oil  NFS, Corn  sweet  yellow  frozen  kernels cut off cob  boiled  drained  without salt, Beans  snap  green  frozen  cooked  boiled  drained without salt, Salt  table  iodized, Beverages  water  tap  drinking"
"27420350","Pork and vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, no sauce","Meat mixed dishes","Pork  fresh  loin  whole  separable lean only  cooked  roasted, Corn  sweet  yellow  frozen  kernels cut off cob  boiled  drained  without salt, Beans  snap  green  frozen  cooked  boiled  drained without salt, Beverages  water  tap  drinking, Vegetable oil  NFS, Salt  table  iodized"
"27420370","Pork, tofu, and vegetables, excluding carrots, broccoli, and dark-green leafy; no potatoes, soy-based sauce","Stir-fry and soy-based sauce mixtures","Pork  fresh  loin  whole  separable lean only  cooked  roasted, Tofu  soft  prepared with calcium sulfate and magnesium chloride (nigari), Peppers  sweet  green  cooked  boiled  drained  without salt, Green beans  cooked  as ingredient, Onions  cooked  boiled  drained  without salt, Mushrooms  white  cooked  boiled  drained  without salt, Garlic  raw, Ginger root  raw, Soup  beef broth or bouillon canned  ready-to-serve, Soy sauce made from soy and wheat (shoyu), Onions  spring or scallions (includes tops and bulb)  raw, Vegetable oil  NFS"
"27420400","Pork and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, tomato-based sauce","Meat mixed dishes","Pork  fresh  loin  whole  separable lean only  cooked  roasted, Tomato products  canned  sauce, Carrots  frozen  cooked  boiled  drained  without salt, Broccoli  frozen  chopped  cooked  boiled  drained  without salt, Vegetable oil  NFS, Salt  table  iodized"
"27420410","Pork and vegetables excluding  carrots, broccoli, and dark-green leafy; no potatoes, tomato-based sauce","Meat mixed dishes","Pork  fresh  loin  whole  separable lean only  cooked  roasted, Tomato products  canned  sauce, Corn  sweet  yellow  frozen  kernels cut off cob  boiled  drained  without salt, Beans  snap  green  frozen  cooked  boiled  drained without salt, Vegetable oil  NFS, Salt  table  iodized"
"27420450","Sausage and vegetables including  carrots, broccoli, and/or dark-green leafy; no potatoes, tomato-based sauce","Meat mixed dishes","Pork sausage  link/patty  cooked  pan-fried, Tomato products  canned  sauce, Carrots  frozen  cooked  boiled  drained  without salt, Broccoli  frozen  chopped  cooked  boiled  drained  without salt, Vegetable oil  NFS, Salt  table  iodized"
"27420460","Sausage and vegetables, excluding carrots, broccoli, and dark-green leafy; no potatoes, tomato-based sauce","Meat mixed dishes","Pork sausage  link/patty  cooked  pan-fried, Tomato products  canned  sauce, Corn  sweet  yellow  frozen  kernels cut off cob  boiled  drained  without salt, Beans  snap  green  frozen  cooked  boiled  drained without salt, Vegetable oil  NFS, Salt  table  iodized"
"27420500","Pork and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, soy-based sauce","Stir-fry and soy-based sauce mixtures","Pork  fresh  loin  whole  separable lean only  cooked  roasted, Carrots  cooked  boiled  drained  without salt, Broccoli  cooked  as ingredient, Onions  cooked  boiled  drained  without salt, Garlic  raw, Ginger root  raw, Soup  beef broth or bouillon canned  ready-to-serve, Soy sauce made from soy and wheat (shoyu), Onions  spring or scallions (includes tops and bulb)  raw, Vegetable oil  NFS"
"27420510","Pork and vegetables excluding carrots, broccoli, and dark- green leafy; no potatoes, soy-based sauce","Stir-fry and soy-based sauce mixtures","Pork  fresh  loin  whole  separable lean only  cooked  roasted, Peppers  sweet  green  cooked  boiled  drained  without salt, Green beans  cooked  as ingredient, Onions  cooked  boiled  drained  without salt, Mushrooms  white  cooked  boiled  drained  without salt, Garlic  raw, Ginger root  raw, Soup  beef broth or bouillon canned  ready-to-serve, Soy sauce made from soy and wheat (shoyu), Onions  spring or scallions (includes tops and bulb)  raw, Vegetable oil  NFS"
"27420520","Pork shish kabob with vegetables, excluding potatoes","Meat mixed dishes","Vegetable oil  NFS, Lime juice  raw, Soy sauce made from soy and wheat (shoyu), Salt  table  iodized, Parsley  fresh, Coriander (cilantro) leaves  raw, Garlic  raw, Onions  cooked  boiled  drained  without salt, Pepper  raw  NFS, Mushrooms  white  cooked  boiled  drained  without salt, Pork  fresh  loin  whole  separable lean only  cooked  roasted"
"27422010","Pork chop stewed with vegetables, Puerto Rican style","Meat mixed dishes","Pork  fresh  loin  whole  separable lean only  raw, Garlic  raw, Spices  oregano  dried, Salt  table  iodized, Oil  olive  salad or cooking, Tomatoes  red  ripe  canned  packed in tomato juice, Sugars  granulated, Beans  snap  green  canned  regular pack  drained solids, Corn  sweet  yellow  canned  whole kernel  drained solids, Onions  raw"
"27430400","Lamb or mutton stew with vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, gravy","Meat mixed dishes","Vegetables  mixed  frozen  cooked  boiled  drained  without salt, Lamb  cubed for stew or kabob (leg and shoulder)  separable lean only  trimmed to 1/4"" fat  cooked  braised, Gravy  beef  canned  ready-to-serve, Gravy  chicken  canned or bottled  ready-to-serve, Salt  table  iodized"
"27430410","Lamb or mutton stew with vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, gravy","Meat mixed dishes","Peas  green  frozen  cooked  boiled  drained  without salt, Lamb  cubed for stew or kabob (leg and shoulder)  separable lean only  trimmed to 1/4"" fat  cooked  braised, Gravy  beef  canned  ready-to-serve, Gravy  chicken  canned or bottled  ready-to-serve, Salt  table  iodized"
"27430500","Veal goulash with vegetables excluding carrots, broccoli, and dark-green leafy; no potatoes, tomato-based sauce","Meat mixed dishes","Veal  leg (top round)  separable lean and fat  raw, Vegetable oil  NFS, Onions  raw, Tomato juice  canned  with salt added, Salt  table  iodized, Spices  paprika, Beverages  water  tap  drinking, Wheat flour  white  all-purpose  enriched  bleached"
"27430510","Veal goulash with vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, tomato-based sauce","Meat mixed dishes","Veal  leg (top round)  separable lean and fat  raw, Vegetable oil  NFS, Onions  raw, Tomato juice  canned  with salt added, Carrots  raw, Salt  table  iodized, Spices  paprika, Beverages  water  tap  drinking, Wheat flour  white  all-purpose  enriched  bleached"
"27430580","Veal with vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, cream or white sauce","Meat mixed dishes","Veal  leg (top round)  separable lean and fat  cooked  braised, White sauce or gravy, Carrots  cooked  as ingredient, Broccoli  cooked  as ingredient, Salt  table  iodized, Beverages  water  tap  drinking, Vegetable oil  NFS"
